auction_brand,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
VOLKSWAGEN,Toffen,"Réplique Kübelwagen Albar, base VW 1300",Oldtimer Galerie Toffen,2 600 €,TR,V,,6937,
VOLKSWAGEN,Londres,Coccinelle 1200 export LHD,RM Auctions,12 549 €,OR+,V,,6937,
VOLKSWAGEN,Oxford,"Coccinelle Export RHD, moteur 1600",Silverstone Auctions,27 492 €,REST/TR,V,,6937,
VOLKSWAGEN,Londres,"Coccinelle ""Ovale"" coach export LHD",Coys Auctions,11 480 €,REST+,V,,6937,
VOLKSWAGEN,Pacific Grove,Coccinelle (ovale) coach Standard,Worldwide Auctioneers,65 510 €,REST,V,,6937,
VOLKSWAGEN,Kaufdorf,"Coccinelle ""Split"" coach export",Oldtimer Galerie Toffen,3 000 €,EP,V,,6937,
VOLKSWAGEN,Munich,Coccinelle Typ 11 coach,Hermann Historica,40 000 €,OR-,V,,6937,
VOLKSWAGEN,Vimoutiers,"Typ 166 Schwimmwagen, moteur plus récent",Demade Enchères,68 000 €,RAR/TR,V,,6937,
VOLKSWAGEN,Nonsard,Coccinelle 1302 L coach toit ouvrant,SCP Cappelaere & Prunaux,4 000 €,REST,V,,6937,
VOLKSWAGEN,Londres,"Coccinelle ""Mexico"" RHD, look 65, moteur 2.2",Bonhams,7 480 €,TR,V,,6937,
VOLKSWAGEN,Leominster,Coccinelle 1300 S coach RHD préparé,Brightwells,2 400 €,REST/TR,V,,6937,
VOLKSWAGEN,Brooklands,Coccinelle 1500 coach RHD,BCA Classic & Historic,8 780 €,OR+,V,,6937,
VOLKSWAGEN,Toffen,1300 kit Bugatti Replica,Oldtimer Galerie Toffen,6 500 €,TR,V,,6937,
VOLKSWAGEN,Londres,Coccinelle 1200 L Final Edition RHD,RM Auctions / Sotheby's,14 250 €,REST+,V,,6937,
VOLKSWAGEN,Harrogate,Coccinelle 1200 Jeans RHD,Bonhams,3 000 €,OR,V,,6937,
VOLKSWAGEN,Londres,"Coccinelle 1200 coach RHD, 1 500 miles d'origine",RM Auctions / Sotheby's,18 000 €,EX,V,,6937,
VOLKSWAGEN,Kempston Hardwick,Coccinelle 1303 coach RHD,BCA Classic & Historic,750 €,OR,V,,,
VOLKSWAGEN,Buxton,Coccinelle 1500 cabriolet RHD,H & H Classic Auctions,7 050 €,REST,V,,,
VOLKSWAGEN,Sainte-Geneviève,Coccinelle 1600 cabriolet Karmann,SVV Australe,6 800 €,REST-,V,,,
VOLKSWAGEN,Romorantin,Coccinelle 1200 cabriolet,"SCP Dubée, Berron, Sentucq",9 000 €,REST/TR,V,,,
VOLKSWAGEN,Woodstock,Coccinelle cabriolet Karmann (LHD),Coys,14 250 €,REST+,V,,,
VOLKSWAGEN,Monaco,"Coccinelle 1303 LS Cabriolet ""Champion""",Artcurial Motorcars,16 850 €,REST/TR,V,,,
VOLKSWAGEN,Fontainebleau,"Coccinelle 1303 S coach, immatr. belge",Jean-Pierre Osenat,3 000 €,REST,V,,,
VOLKSWAGEN,Buxton,Karmann-Ghia 1600 coupé T 14 LHD ex-USA,H & H Classic Auctions,4 200 €,OR+,V,,,
VOLKSWAGEN,Leominster,"Karmann-Ghia 1600 coupé (type 14), conv. RHD",Brightwells,5 700 €,REST/TR,V,,,
VOLKSWAGEN,Scottsdale,Karmann-Ghia 1200 coupé typ 14,Gooding & Co.,32 540 €,REST,V,,,
VOLKSWAGEN,Kaufdorf,Karmann-Ghia 1200 coupé (type 14),Oldtimer Galerie Toffen,3 170 €,EP,V,,,
VOLKSWAGEN,Oxford,New Beetle Speedster RHD conv. APS 1.8 T,Bonhams,7 861 €,TR/EX,V,,,
VOLKSWAGEN,Lyon,Karmann-Ghia 1500 (T 14) cabriolet ex-USA,Claude Aguttes,18 000 €,RAR,V,,,
VOLKSWAGEN,Fayence,1600 TLE coupé RHD,Jean-Pierre Osenat,1 875 €,EP,V,,11835,
VOLKSWAGEN,Versailles,"1600 TL coupé ""fastback""",Chevau-Légers Enchères,6 500 €,REST+,V,,11835,
VOLKSWAGEN,Silverstone,Karmann-Ghia 1600 (T 14) coupé,Silverstone Auctions,25 319 €,REST,V,,11835,
VOLKSWAGEN,Whitney,Karmann-Ghia 1600 cabriolet T 14 LHD,Coys Auctions,3 750 €,OR,V,,11835,
VOLKSWAGEN,Essen,Type 3 Variant moteur Porsche 993,Coys Europe,30 000 €,TR/EX,V,,11835,
VOLKSWAGEN,Toffen,"Type 24 Bus de Luxe ""21 fenêtres"" toit ouvrant",Oldtimer Galerie Toffen,29 900 €,OR+,V,,11835,
VOLKSWAGEN,Brands Hatch,"Type 24 Bus De Luxe ""23 fenêtres"" RHD, moteur 2.4",Coys Auctions,62 250 €,REST/TR,V,,11835,
VOLKSWAGEN,Coventry,Type 2 Camping Devon Caravanette RHD,Silverstone Auctions,19 824 €,REST,V,,11835,
VOLKSWAGEN,Beaulieu,Type 23 Kombi LHD,Bonhams,14 700 €,REST,V,,11835,
VOLKSWAGEN,Toffen,Typ 2 minibus 8 places,Oldtimer Galerie Toffen,96 495 €,REST+,V,,11835,
VOLKSWAGEN,Amelia Island,Typ 2 pick-up,RM Sotheby,52 400 €,REST,V,,11835,
VOLKSWAGEN,Monterey,Type 211 Microbus,Christie's USA,17 600 €,REST+,V,,11835,
VOLKSWAGEN,Monaco,Transporter (T 3) 2 litres pick-up,Artcurial Motorcars,1 192 €,OR,V,,11835,
VOLKSWAGEN,Ascot,"Type 2 Camping (Brazil) RHD, ex-Pete Townshend",Coys Auctions,33 000 €,EX,V,,11835,
VOLKSWAGEN,Londres,Type 2 Bus L (Clipper),Coys,17 600 €,REST+,V,,11835,
VOLKSWAGEN,Uzerche,Type 22 Combi 8 places,Me Arnaud-Lacroze / M. Saint-Gal,2 400 €,OR+,V,,8549,
VOLKSWAGEN,Woodstock,Type 2 fourgon double porte latérale LHD,Coys Auctions,9 620 €,REST,V,,8549,
VOLKSWAGEN,Goodwood,Typ 2 Devon Samba 23 vitres RHD,Bonhams,128 580 €,REST,V,,8549,
VOLKSWAGEN,Montbazon,Type 26 plateau large Westfalia,Five Auction Tours,2 000 €,OR,V,,8549,
