auction_brand,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,year
,,Coccinelle (ovale) coach Standard,Worldwide Auctioneers,,,,,
,,,,,,,,
,,Coccinelle 1300 coach toit ouvrant,RM Sotheby,,,,,
,,Coccinelle 1300 coach RHD,Historics at Brooklands,,,,,
,,Coccinelle 1300 coach RHD (moteur 1600),Historics at Brooklands,,,,,
,,1300 coach,May & Associés,,,,,
,,1300 toit ouvrant,Collin du Bocage,,,,,
,,Coccinelle 1300 RHD,H & H Classic Auctions,,,,,
,,"Evocation Bugatti 35, base 1300",Bonhams,,,,,
,,Coccinelle 1300 L automatique coach,Oldtimer Galerie Toffen,,,,,
,,Coccinelle 1300 coach RHD,Historics at Brooklands,,,,,
,,Coccinelle 1300 coach,Silverstone Auctions,,,,,
,,Coccinelle 1300 coach,Les belles du cap - J. Bessière/A. Artus,,,,,
,,Coccinelle 1300 coach RHD,Anglia Car Auctions,,,,,
,,"Coccinelle 1300 coach RHD, conversion cabriolet",Bonhams,,,,,
,,Coccinelle 1300 coach,Oldtimer Galerie Toffen,,,,,
,,Coccinelle 1300 coach,Bonhams,,,,,
,,1300 kit Bugatti Replica,Oldtimer Galerie Toffen,,,,,
,,,,,,,,
,,1200 L RHD,H and H,,,,,
,,Coccinelle 1200 coach,Stanislas Machoïr,,,,,
,,"Coccinelle 1200 L RHD, 63 miles origine",Bonhams,,,,,
,,Buggy 4 places,Jean-Pierre Osenat,,,,,
,,Cox 1600 injection (Typ 11) ex-Canada,Artcurial,,,,,
,,Coccinelle 1200 L coach RHD,H & H Classic Auctions,,,,,
,,Coccinelle 1200 L RHD,H & H Classic Auctions,,,,,
,,Coccinelle 1200 L Final Edition RHD,RM Auctions / Sotheby's,,,,,
,,,,,,,,
,,Coccinelle 1302 coach,Jean-Pierre Osenat,,,,,
,,Coccinelle 1302 S coach RHD,Bonhams,,,,,
,,Coccinelle 1302 L coach,Me Arnaud-Lacroze / M. Saint Gal,,,,,
,,Coccinelle 1302 L coach toit ouvrant,SCP Cappelaere & Prunaux,,,,,
,,,,,,,,
,,Coccinelle 1600 Deluxe coach toit ouvrant souple,RM Sotheby's,,,,,
,,Coccinelle 1600 Mexico série 50 ans (neuve),RM Sotheby's,,,,,
,,"Coccinelle ""Mexico"" RHD, look 65, moteur 2.2",Bonhams,,,,,
,,,,,,,,
,,"Coccinelle 1300 S coach RHD, moteur 2.2 préparé",H & H Classic Auctions,,,,,
,,Coccinelle 1300 S coach RHD préparé,Brightwells,,,,,
,,,,,,,,
,,Coccinelle 1500 coach,RM Sotheby's,,,,,
,,1500 Export,RM Sotheby's,,,,,
,,Coccinelle 1500 coach RHD,BCA Classic & Historic,,,,,
,,,,,,,,
,,1303 S Super Beetle,Bonhams,,,,,
,,"Coccinelle 1303 S coach, immatr. belge",Jean-Pierre Osenat,,,,,
,,,,,,,,
,,1303 coach,Claude Aguttes,,,,,
,,Coccinelle 1303 coach,Alcopa,,,,,
,,Coccinelle 1303 coach,SVV Daguerre,,,,,
,,Coccinelle 1303 coach,Toutain-Vente / M. Vaudouër,,,,,
,,Coccinelle 1303 coach,Toutain-Vente / M. Vaudouër,,,,,
