auction_brand,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
VOLKSWAGEN,La Flèche,Coccinelle 1200 coach,Cyril Duval,3 840 €,OR,V,,6933,
VOLKSWAGEN,Château sur Epte,"Coccinelle 1200, pare-chocs 1302",Artcurial Motorcars,4 256 €,OR,V,,6933,
VOLKSWAGEN,Brooklands,Coccinelle Baja prép. 1660,Historics at Brooklands,5 566 €,REST/TR,V,,6933,
VOLKSWAGEN,Beaulieu,Coccinelle 1200 coach,Bonhams,4 720 €,OR,V,,6933,
VOLKSWAGEN,Amelia Island,Coccinelle 1200 coach,Gooding & Co.,25 159 €,OR,V,,6933,
VOLKSWAGEN,Birmingham,Coccinelle (ovale) Standard,Silverstone Auctions,16 061 €,REST,V,,6933,
VOLKSWAGEN,Birmingham,Coccinelle 1300 coach,Silverstone Auctions,11 033 €,REST,V,,6933,
VOLKSWAGEN,Oxford,Replicar Bugatti base Type 11,Bonhams,8 861 €,TR,V,,6933,
VOLKSWAGEN,Montastruc la conseillère,"Coccinelle 1200 coach ""50e anniversaire""",FEE Machoir / D. Pouteau,7 000 €,OR,V,,6933,
VOLKSWAGEN,EsvrEs sur IndrE,Coccinelle 1200 coach,Five Auction Tours,6 200 €,OR+,V,,6933,
VOLKSWAGEN,Saint-LoubèS,Coccinelle 1200 coach,SCP Cambron-Pesin-Dupont-Lagrifo,3 300 €,RET,V,,6933,
VOLKSWAGEN,Londres,"Coccinelle 1200 coach RHD, 1 500 miles d'origine",RM Auctions / Sotheby's,18 000 €,EX,V,,6933,
,,,,,,,,6932,
VOLKSWAGEN,Los Angeles,1200 Export toit ouvrant souple,RM Sotheby's,23 780 €,REST,V,,6932,
VOLKSWAGEN,Auburn,1200 Export (surbaissée),RM Sotheby's,4 260 €,OR,V,,6932,
VOLKSWAGEN,Fort Lauderdale,Typ 11 Export toit souple,RM Sotheby's,17 060 €,OR+,V,,6932,
VOLKSWAGEN,Coventry,Coccinelle 1200 Export RHD,Silverstone Auctions,19 230 €,OR+,V,,6932,
VOLKSWAGEN,Scottsdale,Coccinelle 1200 ex-cinéma (Shaking Herbie),Barrett-Jackson,15 510 €,OR,V,,6932,
VOLKSWAGEN,Scottsdale,Coccinelle 1200 coach Export toit souple,Worldwide Auctioneers,20 690 €,REST,V,,6932,
VOLKSWAGEN,Milan,Coccinelle 1200 coach Export,RM Sotheby's,23 520 €,OR+,V,,6932,
VOLKSWAGEN,Auvers sur Oise,Coccinelle 1200 coach Export,William Le Calvez,17 864 €,REST,V,,6932,
VOLKSWAGEN,Pebble Beach,"Coccinelle Export coach, toit souple",Gooding & Co.,63 000 €,REST+,V,,6932,
VOLKSWAGEN,Auvers sur Oise,"Coccinelle 1200 Export, moteur 1300",SVV Le Calvez & Associés,8 106 €,REST/TR,V,,6932,
VOLKSWAGEN,Berlin,"Coccinelle 1200 Export, toit souple",Auctionata,8 670 €,REST,V,,6932,
VOLKSWAGEN,Paris,Coccinelle 1200 toit ouvrant Export Italie,Bonhams,12 075 €,REST,V,,6932,
VOLKSWAGEN,Bruxelles,"Coccinelle ""ovale"" coach export",Pierre Bergé & Associés,12 000 €,OR+,V,,6932,
VOLKSWAGEN,Toffen,Coccinelle (split) coach Export,Oldtimer Galerie,31 587 €,REST,V,,6932,
VOLKSWAGEN,Birmingham,Coccinelle (split) Standard,Silverstone Auctions,29 328 €,REST,V,,6932,
VOLKSWAGEN,Londres,Coccinelle 1200 export LHD,RM Auctions,12 549 €,OR+,V,,6932,
,,,,,,,,11681,
VOLKSWAGEN,Fort Lauderdale,Typ 11 Standard,RM Sotheby's,12 570 €,REST,V,,11681,
VOLKSWAGEN,Phoenix,Coccinelle 1200 export USA,RM Sotheby's,17 380 €,OR,V,,11681,
VOLKSWAGEN,Oxford,"Coccinelle Export RHD, moteur 1600",Silverstone Auctions,27 492 €,REST/TR,V,,11681,
,,,,,,,,6931,
VOLKSWAGEN,Monaco,"Typ 11 Export, toit souple",Artcurial Motorcars,19 190 €,REST+,V,,6931,
VOLKSWAGEN,Scottsdale,Coccinelle (ovale) export USA,Bonhams,19 660 €,REST,V,,6931,
VOLKSWAGEN,Londres,"Coccinelle ""Ovale"" coach export LHD",Coys Auctions,11 480 €,REST+,V,,6931,
,,,,,,,,11737,
VOLKSWAGEN,Pacific Grove,Coccinelle (ovale) coach Standard,Worldwide Auctioneers,65 510 €,REST,V,,11737,
,,,,,,,,6930,
VOLKSWAGEN,Nevers,Typ 11 Export,Métayer Auction,31 720 €,OR,V,,6930,
VOLKSWAGEN,Fort Lauderdale,Coccinelle (split) coach Export,RM Sotheby,36 220 €,REST,V,,6930,
VOLKSWAGEN,Scottsdale,Typ 11 Export,Gooding & Co,44 990 €,REST,V,,6930,
VOLKSWAGEN,Paris,Coccinelle (split) coach Export,RM Sotheby's,59 490 €,OR,V,,6930,
VOLKSWAGEN,Fontainebleau,Coccinelle (split) coach export,Jean-Pierre Osenat,33 600 €,REST+,V,,6930,
VOLKSWAGEN,Amelia Island,Coccinelle (split) coach,Gooding & Co.,57 420 €,REST,V,,6930,
VOLKSWAGEN,Kaufdorf,"Coccinelle ""Split"" coach export",Oldtimer Galerie Toffen,3 000 €,EP,V,,6930,
,,,,,,,,11736,
VOLKSWAGEN,Paris,Coccinelle (split) coach Standard,Artcurial,41 720 €,REST,V,,11736,
VOLKSWAGEN,Amelia Island,Coccinelle (split) Export,Gooding & Co.,39 350 €,REST,V,,11736,
VOLKSWAGEN,Munich,Coccinelle Typ 11 coach,Hermann Historica,40 000 €,OR-,V,,11736,
,,,,,,,,6968,
VOLKSWAGEN,Paris,Typ 166 Schwimmwagen,Artcurial,119 200 €,REST,V,,6968,
VOLKSWAGEN,Bruxelles,Typ 166 Schwimmwagen,Pierre Bergé & Associés,132 000 €,REST+,V,,6968,
VOLKSWAGEN,Nysted,Typ 166 Schwimmwagen,RM Auctions,112 560 €,RAR,V,,6968,
