quote_id,auction_brand,auction_model,auction_organizor,action_sales_code,auction_restauration_code,action_price,action_location
6932,VOLKSWAGEN,Coccinelle 1200 coach Export,William Le Calvez,V,REST,17 864 €,Auvers sur Oise
6932,VOLKSWAGEN,"Coccinelle Export coach, toit souple",Gooding & Co.,V,REST+,63 000 €,Pebble Beach
6932,VOLKSWAGEN,"Coccinelle 1200 Export, moteur 1300",SVV Le Calvez & Associés,V,REST/TR,8 106 €,Auvers sur Oise
6932,VOLKSWAGEN,"Coccinelle 1200 Export, toit souple",Auctionata,V,REST,8 670 €,Berlin
6932,VOLKSWAGEN,Coccinelle 1200 toit ouvrant Export Italie,Bonhams,V,REST,12 075 €,Paris
6932,VOLKSWAGEN,"Coccinelle ""ovale"" coach export",Pierre Bergé & Associés,V,OR+,12 000 €,Bruxelles
6932,VOLKSWAGEN,Coccinelle (split) coach Export,Oldtimer Galerie,V,REST,31 587 €,Toffen
6932,VOLKSWAGEN,Coccinelle (split) Standard,Silverstone Auctions,V,REST,29 328 €,Birmingham
6932,VOLKSWAGEN,Coccinelle 1200 export LHD,RM Auctions,V,OR+,12 549 €,Londres
6935,,,,,,,
6935,VOLKSWAGEN,Coccinelle 1300 coach toit ouvrant,RM Sotheby,V,REST,23 950 €,Amelia Island
6935,VOLKSWAGEN,Coccinelle 1300 coach RHD,Historics at Brooklands,V,OR+,4 880 €,Ascott
6935,VOLKSWAGEN,Coccinelle 1300 coach RHD (moteur 1600),Historics at Brooklands,V,REST,6 830 €,Ascott
6935,VOLKSWAGEN,1300 coach,May & Associés,V,REC,5 030 €,Roubaix
6935,VOLKSWAGEN,1300 toit ouvrant,Collin du Bocage,V,OR,5 040 €,Wattripont
6935,VOLKSWAGEN,Coccinelle 1300 RHD,H & H Classic Auctions,V,REST+,22 410 €,Duxford
6935,VOLKSWAGEN,"Evocation Bugatti 35, base 1300",Bonhams,V,TR,6 560 €,Beaulieu
6935,VOLKSWAGEN,Coccinelle 1300 L automatique coach,Oldtimer Galerie Toffen,V,OR+,7 578 €,Zurich
6935,VOLKSWAGEN,Coccinelle 1300 coach RHD,Historics at Brooklands,V,OR+,10 794 €,Brooklands
6935,VOLKSWAGEN,Coccinelle 1300 coach,Silverstone Auctions,V,OR,6 983 €,Birmingham
6935,VOLKSWAGEN,Coccinelle 1300 coach,Les belles du cap - J. Bessière/A. Artus,V,OR+,5 361 €,Cap d'Agde
6935,VOLKSWAGEN,Coccinelle 1300 coach RHD,Anglia Car Auctions,V,REST+,4 950 €,Kings Lynn
6935,VOLKSWAGEN,"Coccinelle 1300 coach RHD, conversion cabriolet",Bonhams,V,TR/OR,1 210 €,Harrogate
6935,VOLKSWAGEN,Coccinelle 1300 coach,Oldtimer Galerie Toffen,V,OR,2 650 €,Toffen
6935,VOLKSWAGEN,Coccinelle 1300 coach,Bonhams,V,OR,1 500 €,Reims-Gueux
6935,VOLKSWAGEN,1300 kit Bugatti Replica,Oldtimer Galerie Toffen,V,TR,6 500 €,Toffen
6934,,,,,,,
6934,VOLKSWAGEN,1200 L RHD,H and H,V,OR,2 790 €,Buxton
6934,VOLKSWAGEN,Coccinelle 1200 coach,Stanislas Machoïr,V,REST,12 000 €,Montastruc
6934,VOLKSWAGEN,"Coccinelle 1200 L RHD, 63 miles origine",Bonhams,V,EX,19 100 €,Londres
6934,VOLKSWAGEN,Buggy 4 places,Jean-Pierre Osenat,V,TR,16 800 €,Fontainebleau
6934,VOLKSWAGEN,Cox 1600 injection (Typ 11) ex-Canada,Artcurial,V,OR+/EX,22 521 €,Monaco
6934,VOLKSWAGEN,Coccinelle 1200 L coach RHD,H & H Classic Auctions,V,OR+,3 240 €,Buxton
6934,VOLKSWAGEN,Coccinelle 1200 L RHD,H & H Classic Auctions,V,REST,2 310 €,Buxton
6934,VOLKSWAGEN,Coccinelle 1200 L Final Edition RHD,RM Auctions / Sotheby's,V,REST+,14 250 €,Londres
11339,,,,,,,
11339,VOLKSWAGEN,"1200 Jeans, ex Vintage Mecanic",Orne Enchères / M. Pagneux,V,REST+,12 000 €,Caen
11339,VOLKSWAGEN,"Coccinelle 1600 Silver, 150 km origine",Artcurial Motorcars,V,EX,19 062 €,Paris
11339,VOLKSWAGEN,Coccinelle 1200 Jeans coach,Brioult Enchères / M. Pagneux,V,RAR,5 000 €,Caen
11339,VOLKSWAGEN,Coccinelle 1200 Jeans RHD,Bonhams,V,OR,3 000 €,Harrogate
9530,,,,,,,
9530,VOLKSWAGEN,"Coccinelle 1300 S coach RHD, moteur 2.2 préparé",H & H Classic Auctions,V,REST/TR,12 020 €,Cheltenham
9530,VOLKSWAGEN,Coccinelle 1300 S coach RHD préparé,Brightwells,V,REST/TR,2 400 €,Leominster
6936,,,,,,,
6936,VOLKSWAGEN,Coccinelle 1500 coach,RM Sotheby's,V,REST,29 470 €,Phoenix
6936,VOLKSWAGEN,1500 Export,RM Sotheby's,V,OR+,5 450 €,Auburn
6936,VOLKSWAGEN,Coccinelle 1500 coach RHD,BCA Classic & Historic,V,OR+,8 780 €,Brooklands
6937,,,,,,,
6937,VOLKSWAGEN,Coccinelle 1302 coach,Jean-Pierre Osenat,V,OR+,15 000 €,Fontainebleau
6937,VOLKSWAGEN,Coccinelle 1302 S coach RHD,Bonhams,V,OR+,9 214 €,Weybridge
6937,VOLKSWAGEN,Coccinelle 1302 L coach,Me Arnaud-Lacroze / M. Saint Gal,V,OR,3 400 €,Uzerche
6937,VOLKSWAGEN,Coccinelle 1302 L coach toit ouvrant,SCP Cappelaere & Prunaux,V,REST,4 000 €,Nonsard
11564,,,,,,,
11564,VOLKSWAGEN,Coccinelle 1600 Deluxe coach toit ouvrant souple,RM Sotheby's,V,OR,8 990 €,Saint Louis
11564,VOLKSWAGEN,Coccinelle 1600 Mexico série 50 ans (neuve),RM Sotheby's,V,EX,18 700 €,Londres
11564,VOLKSWAGEN,"Coccinelle ""Mexico"" RHD, look 65, moteur 2.2",Bonhams,V,TR,7 480 €,Londres
6948,,,,,,,
6948,VOLKSWAGEN,Karmann-Ghia 1600 coupé USA,Bonhams,V,REST,8 830 €,Goodwood
6948,VOLKSWAGEN,Karmann-Ghia 1600 (T 14) coupé,Jean-Pierre Osenat,V,OR+,18 000 €,Lyon (Epoqu'auto)
6948,VOLKSWAGEN,Karmann-Ghia 1600 coupé ex-USA,Jean-Pierre Osenat,V,REST-,14 300 €,Lyon (Epoqu'auto)
6948,VOLKSWAGEN,Karmann-Ghia 1600 coupé T 14 LHD ex-USA,H & H Classic Auctions,V,OR+,4 200 €,Buxton
6947,,,,,,,
