auction_brand,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,year
ALPINE,Paris,A 110-1600 VD berlinette 1600 SC ,Artcurial,133 500 €,OR,V,,
ALPINE,Paris,A 110-1600 VD berlinette 1600 SC ,Artcurial,113 240 €,REST,V,,
ALPINE,Lyon,A 110 berlinette 1600 SC,Claude Aguttes,108 120 €,REST+,V,,
ALPINE,Lyon (Epoqu'auto),A 110-1600 VD berlinette 1600 SC,Jean-Pierre Osenat,80 400 €,OR+,V,,
ALPINE,Paris,A 110 1600 SC berlinette ex-Salon Paris,Artcurial Motorcars,128 740 €,REST+/EX,V,,
ALPINE,Padoue,A 110-1600 berlinette,Coys (Europe),40 000 €,REST-,V,,
ALPINE,Paris,A 110-1600 VD prép. 1860 Mignotet Gr. V (20002),Artcurial,112 000 €,REST+/TR,V,,
,,,,,,,,
ALPINE,Paris,A 110 berlinette 1600 S Gr. 4 ex-Agostini,Artcurial,174 000 €,REST,V,,
ALPINE,Paris,A 110 1800 B team Vialle Autogas,RM Sotheby's,149 500 €,REST,V,,
ALPINE,Paris,A 110 berlinette 1600 S,RM Sotheby's,138 000 €,REST,V,,
ALPINE,Lyon,A 110 berlinette 1600 S 122 ch,Aguttes,87 060 €,REST,V,,
ALPINE,Lyon,A 110 berlinette 1600 S,Claude Aguttes,115 320 €,OR+,V,,
ALPINE,Paris,"A 110 berlinette 1860 Groupe 4, ex-B. Wollek",Artcurial Motorcars,298 000 €,REST,V,,
ALPINE,Milan,A 110 berlinette 1600 S,RM Sotheby's,112 000 €,REST,V,,
ALPINE,Fayence,A 110-1600 VB berlinette 1600 S,Jean-Pierre Osenat,32 500 €,EP,V,,
ALPINE,Fayence,A 110-1600 S berlinette compétition client,Jean-Pierre Osenat,31 250 €,EP,V,,
ALPINE,Le Mans,A 110 1600 S berlinette,Artcurial Motorcars,95 360 €,REST,V,,
ALPINE,Monaco,A 110 1600 S berlinette,Bonhams,86 250 €,REST,V,,
ALPINE,Paris,A 110 1600 S berlinette Groupe IV,Artcurial Motorcars,116 816 €,OR+,V,,
ALPINE,Paris,A 110 1600 S berlinette,Bonhams,94 300 €,OR+,V,,
ALPINE,Paris,A 110 1600 S berlinette,RM Auctions,128 800 €,REST,V,,
ALPINE,Le Mans,A 110-1600 berlinette Groupe IV,Artcurial Motorcars,107 280 €,REST,V,,
ALPINE,Le Mans,A 110-1600 SC berlinette,Artcurial Motorcars,77 480 €,OR+,V,,
,,,,,,,,
,,,,,,,A 610 Turbo,1992
,,,,,,,A 610 Turbo Magny-Cours,1993
,,,,,,,,
ALPINE,Paris,A 310 V6 (2700 VA) 5 vitesses,Artcurial,41 720 €,OR+,V,,
ALPINE,Nantes,A 310 V6 (2700 VA) 5 vitesses,François Antonietti Ouest Enchères Publiques,20 700 €,REST,V,,
ALPINE,Lyon (Brotteaux),A 310 V6 5 vitesses ex-Gendarmerie,Claude Aguttes,13 800 €,OR,V,,
ALPINE,Genève,A 310 V6 5 vitesses (47790),The Sportscar Auction Company,9 430 €,OR+,V,,
ALPINE,Toffen,"A 310 V6 (2700 VA) kit “Groupe 4""",Oldtimer Galerie Toffen,11 700 €,OR+/TR,V,,
,,,,,,,,
ALPINE,Fontainebleau,A 310 V6 (2700 VA) 4 vitesses,Osenat,15 000 €,OR-,V,,
ALPINE,La Mézière,A 310 V6 berlinette,Alcopa Auction,22 780 €,REST,V,,
ALPINE,Coventry,A 310 V6 Fleischmann Gr. 4,Silverstone Auctions,28 200 €,REST,V,,
ALPINE,Brooklands,A 310 V6 berlinette,Historics at Brooklands,27 714 €,OR+,V,,
ALPINE,Lyon,"A 310 V6, 29 000 km origine",Claude Aguttes,34 200 €,OR+/EX,V,,
ALPINE,Paris,A 310 V6,EVE Auctions / M. Pagneux,14 375 €,OR+,V,,
ALPINE,Toffen,A 310 V6,Oldtimer Galerie Toffen,13 479 €,REST,V,,
ALPINE,Toffen,A 310 V6 kit Groupe 4,Oldtimer Galerie Toffen,12 350 €,OR,V,,
ALPINE,Paris,A 310 V6 coupé,"Artcurial Briest, Le Fur, Poulai",11 000 €,RAR,V,,
,,,,,,,,
ALPINE,Paris,A 310-1600 VF,RM Sotheby's,57 500 €,OR+,V,,
ALPINE,Lohéac,A 310-1600 VF (modifiée 2 carbus),Rennes Encheres Carole Jezequel,9 680 €,OR-,V,,
,,,,,,,,
ALPINE,Brooklands,GTA V6 Turbo Le Mans RHD,Historics at Brooklands,37 990 €,OR+,V,,
,,,,,,,,
ALPINE,Fléville devant Nancy,V6 Turbo Mille Miles,Est Auction,11 000 €,OR,V,,
,,,,,,,,
ALPINE,Lyon,GTA V6 Turbo Kat. ,Claude Aguttes,31 320 €,OR+,V,,
,,,,,,,,
ALPINE,Brooklands,GTA V6 Turbo RHD,Historics at Brooklands,7 180 €,REST,V,,
ALPINE,Auvers sur Oise,V6 Turbo préparée 240 ch Patrick Legeay,SVV Le Calvez & Associés,48 872 €,TR,V,,
ALPINE,Auvers sur Oise,V6 Turbo Le Mans,SVV Le Calvez & Associés,25 032 €,OR+,V,,
ALPINE,Mulhouse,V6 Turbo ,Stanislas Machoïr,22 200 €,OR+,V,,
ALPINE,Caen,V6 Turbo,Brioult Enchères / M. Pagneux,14 000 €,OR+,V,,
ALPINE,Tours,V6 Turbo coupé,SVV Chinon (M. Herbelin) / M. So,9 800 €,OR,V,,
ALPINE,Nantes,V6 Turbo,Ouest Enchères Publiques,10 000 €,OR+,V,,
ALPINE,Le Plessis Bouchard,V6 Turbo (200 ch),"SCP Riquier, Salvi, Gras / M. Me",8 200 €,OR,V,,
,,,,,,,,
ALPINE,Fort Lauderdale,GTA V6 ex-Suisse,RM Sotheby's,15 260 €,OR+,V,,
ALPINE,Montastruc,V6 GT (160 ch),Stanislas Machoïr,14 400 €,OR,V,,
ALPINE,Lyon,V6 GTA Le Mans,Aguttes,43 590 €,OR+,V,,
ALPINE,La Mézière,V6 GT ,Alcopa Auction Rennes,19 240 €,REST,V,,
ALPINE,Montastruc,GTA Turbo berlinette,Stanislas Machoïr,16 800 €,OR,V,,
ALPINE,Toffen,V6 GT coupé,Oldtimer Galerie Toffen,6 100 €,OR,V,,
,,,,,,,,
ALPINE,Scottsdale,A 310 V6 berlinette,Bonhams,27 860 €,REST,V,,
ALPINE,Chantilly,A 310 V6 kit Fleischmann Gr 4,Bonhams,29 900 €,REST,V,,
ALPINE,Paris,A 310 V6 pack GT,Chevau-Légers Enchères / M. Souv,25 000 €,OR+,V,,
,,,,,,,,
ALPINE,Cheverny,A 310-1600 VE,SVV Rouillac,9 500 €,OR,V,,
,,,,,,,,
ALPINE,Knokke le Zoute,A 110 “Première édition” berlinette n°1,Bonhams,80 500 €,OR+,V,,
ALPINE,Paris,A 110 Première Edition,Artcurial Motorcars,73 900 €,EX,V,,
ALPINE,Biarritz,A 610 Turbo Magny-Cours,Côte Basque Enchères / SCP Lelièvre,16 400 €,OR-,V,,
