auction_brand,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
,,,,,,,,,
,,,,,,,20/30 HP torpédo,,1914
,,,,,,,20/30 HP Sport torpédo,,1921
,,,,,,,6 cyl. Tipo G coupé de ville,,1922
,,,,,,,Tipo RL torpédo,,1922
,,,,,,,RM/RMS/RMU berline,,1923
,,,,,,,6 C 1750 Gran Turismo berline,,1929
,,,,,,,6 C 1750 Sport coach,,1929
,,,,,,,,,
,,,,,,,10/20 (TLC) cabriolet,,1923
,,,,,,,"13/35 limousine 4 cylindres 1,9 l",,1924
,,,,,,,"15/50 berline 4 cylindres 2,2 l",,1926
,,,,,,,Super 7 coach,,1927
,,,,,,,Super 7 sport à compresseur,,1929
,,,,,,,Super 9 limousine,,1931
,,,,,,,10 limousine,,1932
,,,,,,,Southern Cross 10 tourer,,1932
,,,,,,,"Scorpion coach 6 cylindres 1,2 l",,1931
,,,,,,,Gloria berline 4 cylindres,,1934
,,,,,,,Gloria Vitesse berline 4 cylindres,,1935
,,,,,,,,,
,,,,,,,14/28 torpédo (bull-nose),,1924
,,,,,,,14/28 cabriolet (flat-nose),,1926
,,,,,,,14/28 Salonette coach,,1926
,,,,,,,14/40 cabriolet,,1928
,,,,,,,18/80 Six berline,,1928
,,,,,,,18/80 Six Salonette coach,,1928
,,,,,,,18/80 Six torpédo,,1928
,,,,,,,18/80 Six cabriolet,,1928
,,,,,,,Magna F 1 Tourer 4 places,,1931
,,,,,,,Magna L Continental coupé,,1933
,,,,,,,,,
,,,,,,,10/20 PS phaéton (4 cyl. à cardan),,1909
,,,,,,,14/30 PS limousine (4 cyl. à cardan),,1909
,,,,,,,Knight 16/40-16/45 PS torpédo,,1910
,,,,,,,Knight 10/30 PS torpédo,,1912
,,,,,,,Knight 25/65 PS limousine,,1912
,,,,,,,Benz 11/40 PS 6 cylindres torpédo,,1923
,,,,,,,Benz 16/50 PS Sport torpédo,,1923
,,,,,,,6/25/40 Sport roadster à compresseur,,1921
,,,,,,,10/40/65 torpédo à compresseur,,1921
,,,,,,,400 (15/70/100) limousine à compresseur,,1926
,,,,,,,,,
,,,,,,,1 1/2 Litre Le Mans roadster,,1932
,,,,,,,,,
,,,,,,,356-1500 S cabriolet,,1953
,,,,,,,356 A-1300 S cabriolet,,1956
,,,,,,,,,
,,,,,,,A 108-850 coupé 2 places,,1959
,,,,,,,A 108-850 coupé 2 places (phares carénés),,1961
,,,,,,,A 108-850 cabriolet 2 places,,1959
,,,,,,,A 108-850 cabriolet (phares carénés),,1961
,,,,,,,A 108-850 coupé 2 + 2,,1961
,,,,,,,A 110 L 1300 coupé GT 4,,1966
