auction_brand,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
,,,,,,,A 110-1500 berlinette,60,1967
ALFA ROMEO,Phoenix,G 1 biplace course,RM Sotheby's,363 570 €,REST,V,A 110-1500 berlinette,60,1967
,,,,,,,,,
,,,,,,,6 C 1900 Gran Turismo berline,,1933
,,,,,,,6 C 1900 Gran Turismo coupé,,1933
,,,,,,,6 C 2300 B Turismo limousine,,1936
,,,,,,,6 C 2300 B Mille Miglia berlinette,,1936
,,,,,,,6 C 2300 Gran Turismo cabriolet,,1934
,,,,,,,6 C 2500 Turismo limousine,,1947
,,,,,,,6 C 2500 Sport berline Pinin Farina,,1949
,,,,,,,6 C 2500 Sport berline Pinin Farina,61,1949
ALFA ROMEO,Paris,179 B Formule 1 ex Bruno Giacomelli,RM Auctions/Sotheby's,168 000 €,OR+,V,6 C 2500 Sport berline Pinin Farina,61,1949
,,,,,,,6 C 2500 Sport berline Pinin Farina,67,1949
ALFA ROMEO,Goodwood,RL Sport racer biplace,Bonhams,84 000 €,REST,V,6 C 2500 Sport berline Pinin Farina,67,1949
,,,,,,,6 C 2500 Sport berline Pinin Farina,66,1949
ALFA ROMEO,Goodwood,RL SS torpédo ex-Australie,Bonhams,85 800 €,REST,V,6 C 2500 Sport berline Pinin Farina,66,1949
ALFA ROMEO,Londres,RLS racer biplace,Bonhams,83 600 €,TR/REST,V,6 C 2500 Sport berline Pinin Farina,66,1949
,,,,,,,6 C 2500 Sport berline Pinin Farina,68,1949
ALFA ROMEO,Paris,RM torpédo sport châssis court,Bonhams,61 360 €,REC,V,6 C 2500 Sport berline Pinin Farina,68,1949
,,,,,,,6 C 2500 Sport berline Pinin Farina,71,1949
ALFA ROMEO,Goodwood,6 C 1500 Sport tourer recarrossé,Bonhams,229 500 €,REST,V,6 C 2500 Sport berline Pinin Farina,71,1949
ALFA ROMEO,Spa,6 C 1500 Sport tourer Atcherley,Stanislas Machoïr,673 200 €,REST,V,6 C 2500 Sport berline Pinin Farina,71,1949
ALFA ROMEO,Goodwood,6 C 1500 cabriolet James Young,Bonhams,104 400 €,REST,V,6 C 2500 Sport berline Pinin Farina,71,1949
,,,,,,,6 C 2500 Sport berline Pinin Farina,70,1949
ALFA ROMEO,Fontainebleau,6 C 1500 Turismo roadster James Young,Osenat,121 200 €,REST,V,6 C 2500 Sport berline Pinin Farina,70,1949
,,,,,,,6 C 2500 Sport berline Pinin Farina,73,1949
ALFA ROMEO,Londres,6 C 1750 Turismo cabriolet James Young (0412349),Christie's,51 000 €,RAR,V,6 C 2500 Sport berline Pinin Farina,73,1949
,,,,,,,6 C 2500 Sport berline Pinin Farina,72,1949
ALFA ROMEO,Brooklands,6 C 1750 Turismo cabriolet James Young,Historics at Brooklands,238 560 €,REST,V,6 C 2500 Sport berline Pinin Farina,72,1949
ALFA ROMEO,London,6 C 1750 Turismo cabriolet,RM Auction,108 300 €,REST,V,6 C 2500 Sport berline Pinin Farina,72,1949
,,,,,,,,,
,,,,,,,Dolomite 16 berline 6 cylindres,,1937
,,,,,,,Dolomite 16 cabriolet 6 cylindres,,1937
,,,,,,,2000 (TDA) limousine,,1949
,,,,,,,TR 2 Francorchamps coupé (Imperia),,1954
,,,,,,,TR 3 A roadster,8236,1957
TRIUMPH,Buxton,Vitesse 14/60 limousine (4 cyl. 1.8 l),H & H Classic Auctions,10 200 €,REST,V,TR 3 A roadster,8236,1957
,,,,,,,TR 3 A roadster,4366,1957
MG,goodwood,Magnette K 1 berline 6 cylindres,Bonhams,28 100 €,OR-,V,TR 3 A roadster,4366,1957
,,,,,,,TR 3 A roadster,4066,1957
MERCEDES,Paris,10/40/65 PS torpédo 4 cyl. à compresseur,Bonhams,184 000 €,OR-/INC,V,TR 3 A roadster,4066,1957
,,,,,,,TR 3 A roadster,395,1957
ASTON MARTIN,Goodwood,DB 2/4 Saloon,Bonhams,179 690 €,OR+,V,TR 3 A roadster,395,1957
ASTON MARTIN,Chantilly,DB 2/4 Saloon,Bonhams,207 000 €,REST,V,TR 3 A roadster,395,1957
ASTON MARTIN,Wormsley,DB 2/4 3 L Saloon RHD,Bonhams,137 760 €,REST,V,TR 3 A roadster,395,1957
ASTON MARTIN,Scottsdale,DB 2/4 Saloon Bertone,Gooding Co.,497 850 €,EX,V,TR 3 A roadster,395,1957
ASTON MARTIN,Pebble Beach,DB 2/4 coupé Allemano,Gooding & Co,576 860 €,REST,V,TR 3 A roadster,395,1957
ASTON MARTIN,Silverstone,DB 2/4 Saloon RHD,Silverstone Auctions,119 670 €,REST,V,TR 3 A roadster,395,1957
ASTON MARTIN,Reading,"DB 2/4 Saloon, prep. VHC",Bonhams,166 930 €,REST,V,TR 3 A roadster,395,1957
ASTON MARTIN,Paris,DB 2/4 Saloon LHD,Bonhams,170 200 €,REST+,V,TR 3 A roadster,395,1957
ASTON MARTIN,Goodwood,DB 2/4 2.9 Litre Saloon RHD,Bonhams,154 520 €,OR,V,TR 3 A roadster,395,1957
ASTON MARTIN,Newport Pagnell,DB 2/4 Saloon RHD,Bonhams,179 800 €,REST,V,TR 3 A roadster,395,1957
ASTON MARTIN,Scottsdale,DB 2/4 Saloon prép. racing,Bonhams,195 050 €,REST/TR,V,TR 3 A roadster,395,1957
ASTON MARTIN,Newport Pagnell,DB 2/4 Saloon,Bonhams,207 620 €,REST,V,TR 3 A roadster,395,1957
ASTON MARTIN,Newport Pagnell,DB 2/4 Saloon,Bonhams,78 350 €,OR-,V,TR 3 A roadster,395,1957
ASTON MARTIN,Duxford,DB 2/4 Saloon,H & H Classic Auctions,287 552 €,REST,V,TR 3 A roadster,395,1957
ASTON MARTIN,Knokke-le-Zoute,DB 2/4 Mk 1 Saloon 3 litres,Bonhams,241 500 €,REST,V,TR 3 A roadster,395,1957
ASTON MARTIN,Goodwood,DB 2/4 Mk I coupé (2.6 l) LHD,Bonhams,111 440 €,OR-,V,TR 3 A roadster,395,1957
,,,,,,,TR 3 A roadster,5684,1957
PORSCHE,Paris,356 A-1600 S cabriolet Reutter + hard-top,Leclère MDV,174 000 €,REST,V,TR 3 A roadster,5684,1957
PORSCHE,Phoenix,356 A-1600 S cabriolet,RM Sotheby's,183 980 €,REST,V,TR 3 A roadster,5684,1957
PORSCHE,New York,356 A Carrera 1600 GS coupé toit ouvrant Reutter,RM Auctions/Sotheby,447 700 €,REST,V,TR 3 A roadster,5684,1957
PORSCHE,Londres,356 A 1600 Super cabriolet RHD,RM Auctions,111 548 €,REST,V,TR 3 A roadster,5684,1957
PORSCHE,Paris,356 A-1600 S cabriolet,Artcurial Motorcars,113 179 €,REST+,V,TR 3 A roadster,5684,1957
,,,,,,,TR 3 A roadster,190,1957
ALPINE,Paris,A 110-1600 S berline Groupe IV ex-usine,Artcurial Motorcars,200 256 €,EX,V,TR 3 A roadster,190,1957
ALPINE,Paris,A 110-1600 S berlinette,Artcurial Motorcars,109 664 €,REST+,V,TR 3 A roadster,190,1957
ALPINE,Scottsdale (Arizona),A 110 1800 berlinette,Gooding & Co,223 850 €,REST+,V,TR 3 A roadster,190,1957
ALPINE,Mulhouse,A 110 berlinette modifiée,Stanislas Machoïr,54 000 €,RAR/TR,V,TR 3 A roadster,190,1957
ALPINE,Fontainebleau,A 110-1300 VC berlinette V 85,Jean-Pierre Osenat,32 167 €,SEP,V,TR 3 A roadster,190,1957
ALPINE,Paris,A 110-1600 VB berlinette 1600 S,Artcurial Motorcars,69 099 €,REST,V,TR 3 A roadster,190,1957
,,,,,,,TR 3 A roadster,189,1957
ALPINE,Paris,A 110-1300 VB berlinette 1300 S,Leclère MDV,92 400 €,OR+,V,TR 3 A roadster,189,1957
ALPINE,Fayence,A 110-1300 VB berlinette 1300 S,Jean-Pierre Osenat,20 000 €,EP,V,TR 3 A roadster,189,1957
ALPINE,Paris (Artcurial),A 110-1440 berlinette ex-usine (10603),"Artcurial Briest, Le Fur, Poulai",80 000 €,EX,V,TR 3 A roadster,189,1957
,,,,,,,TR 3 A roadster,90,1957
ALFA ROMEO,Milan,6 C 2500 Freccia d'Oro coach,RM Sotheby's,156 800 €,RAR,V,TR 3 A roadster,90,1957
ALFA ROMEO,Paris,6 C 2500 Freccia d'Oro coach tout alu,Bonhams,86 250 €,REC,V,TR 3 A roadster,90,1957
ALFA ROMEO,Paris,6 C 2500 Sport Freccia d'Oro coach (916218),"Artcurial Briest, Le Fur, Poulai",53 000 €,OR,V,TR 3 A roadster,90,1957
,,,,,,,TR 3 A roadster,88,1957
ALFA ROMEO,Paris,6 C 2500 S berline Pinin Farina,RM Sotheby's,143 750 €,REST,V,TR 3 A roadster,88,1957
ALFA ROMEO,Milan,"6 C 2500, caisse coupée",RM Sotheby's,78 400 €,EP/INC,V,TR 3 A roadster,88,1957
ALFA ROMEO,Londres,6 C 2500 Sport cabriolet Touring,RM Sotheby's,1 133 000 €,REST,V,TR 3 A roadster,88,1957
ALFA ROMEO,Londres,6 C 2500 Sport Spyder recarrossé (915041),Coys,534 000 €,TR/REST+,V,TR 3 A roadster,88,1957
,,,,,,,TR 3 A roadster,84,1957
ALFA ROMEO,Cernobbio,6 C 2300 Pescara berline Touring,RM Sotheby's,263 750 €,OR+,V,TR 3 A roadster,84,1957
ALFA ROMEO,Carmel,6 C 2300 Pescara Spider (re-création),Bonhams,423 420 €,REST/TR,V,TR 3 A roadster,84,1957
ALFA ROMEO,Cheltenham,6 C 2300 Pescara roadster Touring (700635),H & H Classic Auctions,665 860 €,EX,V,TR 3 A roadster,84,1957
,,,,,,,TR 3 A roadster,83,1957
ALFA ROMEO,Paris,6 C 2300 B berline Stabilimenti Farina,Bonhams,264 500 €,OR,V,TR 3 A roadster,83,1957
ALFA ROMEO,Phoenix,6 C 2300 B Corto Spyder recarrossé,RM Auctions,330 352 €,REST+/TR,V,TR 3 A roadster,83,1957
,,,,,,,TR 3 A roadster,82,1957
ALFA ROMEO,Goodwood,"6 C 2300 Special biplace, double compresseur",Bonhams,256 390 €,TR,V,TR 3 A roadster,82,1957
ALFA ROMEO,Carmel,6 C 2300 barquette Platé Special,Bonhams,258 000 €,TR,V,TR 3 A roadster,82,1957
ALFA ROMEO,Londres,6 C 2300 roadster recarrossé,RM Auctions,348 586 €,REST/TR,V,TR 3 A roadster,82,1957
ALFA ROMEO,Toffen,6 C 2300 recarrossée barquette polyester,Oldtimer Galerie Toffen,50 000 €,TR,V,TR 3 A roadster,82,1957
,,,,,,,TR 3 A roadster,80,1957
ALFA ROMEO,Monaco,6 C 1900 Gran Turismo roadster style Touring,RM Sotheby's,522 500 €,REST,V,TR 3 A roadster,80,1957
,,,,,,,TR 3 A roadster,78,1957
ALFA ROMEO,Paris,6 C 1750 GS roadster à compresseur Corsica,Artcurial,977 440 €,OR+,V,TR 3 A roadster,78,1957
ALFA ROMEO,Scottsdale,6 C 1750 GS compr. roadster Zagato,Bonhams,2 638 260 €,REST,V,TR 3 A roadster,78,1957
ALFA ROMEO,Paris,6 C 1750 GS compresseur cabriolet J. Young,Bonhams,1 215 400 €,EX,V,TR 3 A roadster,78,1957
ALFA ROMEO,AmeliA IslAnd,6 C 1750 GS roadster à compresseur,RM Auctions,648 000 €,REST+,V,TR 3 A roadster,78,1957
ALFA ROMEO,Monaco,6 C 1750 GS roadster Zagato à compresseur,RM Auctions,785 000 €,REST,V,TR 3 A roadster,78,1957
ALFA ROMEO,Monaco,6 C 1750 GS roadster à compresseur Castagna,RM Auctions,500 000 €,REST,V,TR 3 A roadster,78,1957
ALFA ROMEO,Londres,6 C 1750 GS roadster Carr. Sport (0312940),RM Auctions,522 500 €,REST,V,TR 3 A roadster,78,1957
,,,,,,,TR 3 A roadster,77,1957
ALFA ROMEO,Cernobbio,6 C 1750 Gran Sport roadster 4e série,RM Sotheby's,0 €,REST,V,TR 3 A roadster,77,1957
ALFA ROMEO,Scottsdale,6 C 1750 Gran Sport roadster,Gooding & Co.,1 500 260 €,REST,V,TR 3 A roadster,77,1957
ALFA ROMEO,Amelia Island,6 C 1750 Gran Sport Spider Zagato,RM Sotheby's,2 305 050 €,REST,V,TR 3 A roadster,77,1957
ALFA ROMEO,Paris,6 C 1750 Super Sport roadster,Artcurial Motorcars,941 200 €,EX,V,TR 3 A roadster,77,1957
ALFA ROMEO,Londres,"6 C 1750 GS roadster Testa Fissa, palmarès",RM Auctions,976 041 €,EX,V,TR 3 A roadster,77,1957
ALFA ROMEO,Goodwood,"6 C 1750 SS Competition Tourer Cadogan, palmarès",Bonhams,1 358 927 €,EX,V,TR 3 A roadster,77,1957
ALFA ROMEO,Goodwood,6 C 1750 SS Spyder à compresseur,Bonhams,460 164 €,REST+,V,TR 3 A roadster,77,1957
ALFA ROMEO,Monterey,6 C 1750 Gran Sport roadster Zagato,RM Auctions,673 200 €,REST+,V,TR 3 A roadster,77,1957
ALFA ROMEO,Cheltenham,"6 C 1750 SS roadster Carlton, palmarès",H & H Classic Auctions,697 500 €,EX,V,TR 3 A roadster,77,1957
ALFA ROMEO,Monaco (Coys),"6 C 1750 GS roadster recarr. style ""Flying Star“",Coys,120 000 €,REST/TR,V,TR 3 A roadster,77,1957
,,,,,,,TR 3 A roadster,76,1957
ALFA ROMEO,Beaulieu,"6 C 1750 Gran Turismo à compresseur, façon Flying Star",Bonhams,309 400 €,REST+,V,TR 3 A roadster,76,1957
ALFA ROMEO,Scottsdale (Arizona),6 C 1750 Gran Sport compr. Spider Zagato,Bonhams,2 270 380 €,REST+,V,TR 3 A roadster,76,1957
ALFA ROMEO,Goodwood,6 C 1750 Gran Turismo cabriolet James Young,Bonhams,126 484 €,OR+,V,TR 3 A roadster,76,1957
ALFA ROMEO,Monaco,6 C 1750 Gran Turismo cabriolet Castagna,RM Auctions,336 000 €,REST,V,TR 3 A roadster,76,1957
,,,,,,,TR 3 A roadster,6740,1957
TRIUMPH,Auburn,TR 3 A roadster,RM Sotheby's,11 070 €,REST,V,TR 3 A roadster,6740,1957
TRIUMPH,Greenwich,TR 3 A roadster,Bonhams,23 070 €,REST,V,TR 3 A roadster,6740,1957
TRIUMPH,Fort Lauderdale,TR 3 A roadster,RM Sotheby,24 480 €,REST,V,TR 3 A roadster,6740,1957
TRIUMPH,Fort Lauderdale,TR 3 A roadster,RM Sotheby,41 120 €,REST,V,TR 3 A roadster,6740,1957
TRIUMPH,Duxford,TR 3 A roadster RHD,H and H,25 660 €,REST,V,TR 3 A roadster,6740,1957
TRIUMPH,Avignon,TR 3 A roadster,Leclère Motorcars,39 600 €,REST,V,TR 3 A roadster,6740,1957
TRIUMPH,Paris,"TR 3 A roadster LHD, roues fil",Artcurial Motorcars,34 570 €,REST,V,TR 3 A roadster,6740,1957
TRIUMPH,Brooklands,"TR 3 A roadster LHD, roues disque",Historics at Brooklands,21 790 €,REST,V,TR 3 A roadster,6740,1957
TRIUMPH,Silverstone,"TR 3 A roadster RHD, roues fil",Silverstone Auctions,31 490 €,REST,V,TR 3 A roadster,6740,1957
TRIUMPH,Le Mans,"TR 3 A roadster LHD, roues fil",Artcurial,35 760 €,REST,V,TR 3 A roadster,6740,1957
TRIUMPH,Le Mans,TR 3 A roadster hard-top prép. rallye,Artcurial,41 720 €,REST,V,TR 3 A roadster,6740,1957
TRIUMPH,Fontainebleau,"TR 3 A roadster LHD, roues fil",Osenat,27 600 €,REST,V,TR 3 A roadster,6740,1957
TRIUMPH,Fort Lauderdale,"TR 3 A roadster LHD, roues fil",RM Sotheby's,32 330 €,REST,V,TR 3 A roadster,6740,1957
TRIUMPH,Duxford,"TR 3 A roadster RHD, roues fil",H and H Classics,25 780 €,REST,V,TR 3 A roadster,6740,1957
TRIUMPH,Fontainebleau,"TR 3 A roadster LHD, roues disque",Osenat,33 600 €,REST,V,TR 3 A roadster,6740,1957
TRIUMPH,Paris,"TR 3 A roadster LHD, roues fil",Artcurial,35 760 €,REST,V,TR 3 A roadster,6740,1957
,,,,,,,TR 3 A roadster,6739,1957
TRIUMPH,Brooklands,TR 3 roadster RHD,Historics at Brooklands,28 680 €,REST,V,TR 3 A roadster,6739,1957
TRIUMPH,Leominster,TR 3 roadster RHD,Brightwells,17 650 €,RAR,V,TR 3 A roadster,6739,1957
TRIUMPH,Amelia Island,"TR 3 roadster LHD, roues fil",Gooding & Co,46 480 €,REST,V,TR 3 A roadster,6739,1957
TRIUMPH,Toffen,TR 3 A roadster 2 litres RHD,Oldtimer Galerie Toffen,37 977 €,REST,V,TR 3 A roadster,6739,1957
TRIUMPH,Paris,"TR 3 roadster LHD, roues fil",Artcurial Motorcars,29 800 €,REST,V,TR 3 A roadster,6739,1957
TRIUMPH,Paris,"TR 3 roadster LHD, roues fil",Artcurial Motorcars,30 992 €,REST,V,TR 3 A roadster,6739,1957
TRIUMPH,Mulhouse,TR 3 A roadster LHD,Stanislas Machoïr,28 800 €,REST,V,TR 3 A roadster,6739,1957
TRIUMPH,Brooklands,TR 3 roadster hard-top RHD préparé,Historics at Brooklands,29 876 €,REST/TR,V,TR 3 A roadster,6739,1957
TRIUMPH,Paris,"TR 3 roadster LHD, roues fil",Artcurial Motorcars,38 124 €,REST,V,TR 3 A roadster,6739,1957
TRIUMPH,Brooklands,"TR 3 roadster RHD, évolution TR 3 A",Historic at Brooklands,18 000 €,REST/TR,V,TR 3 A roadster,6739,1957
TRIUMPH,Sainte-Geneviève,"TR 3 roadster LHD ex-USA, roues fil",Australe,5 000 €,SEP/INC,V,TR 3 A roadster,6739,1957
TRIUMPH,Sainte-Geneviève,"TR 3 roadster LHD ex-USA, roues disque",Australe,4 800 €,REC,V,TR 3 A roadster,6739,1957
TRIUMPH,Sainte-Geneviève,"TR 3 roadster LHD, roues disque",Australe,9 000 €,OR-,V,TR 3 A roadster,6739,1957
TRIUMPH,Londres,TR 3 roadster RHD,Coys,15 400 €,REST,V,TR 3 A roadster,6739,1957
TRIUMPH,Blackbushe,"TR 3 roadster RHD, roues fil",BCA Classic & Historic,15 150 €,REST,V,TR 3 A roadster,6739,1957
TRIUMPH,Buxton,TR 3 roadster RHD,H & H Classic Auctions,10 500 €,RAR,V,TR 3 A roadster,6739,1957
,,,,,,,TR 3 A roadster,6738,1957
TRIUMPH,Padoue,"TR 2 roadster RHD, roues disque",Bonhams,20 640 €,REST,V,TR 3 A roadster,6738,1957
TRIUMPH,Le Mans,"TR 2 roadster LHD, roues fil, saute-vent",Artcurial Motorcars,25 030 €,REST,V,TR 3 A roadster,6738,1957
TRIUMPH,Lyon (Brotteaux),"TR 2 roadster LHD, roues fil",Claude Aguttes SAS,32 400 €,RAR,V,TR 3 A roadster,6738,1957
TRIUMPH,Brooklands,TR 2 roadster portes longues,Historics at Brooklands,38 556 €,REST+,V,TR 3 A roadster,6738,1957
TRIUMPH,Brooklands,"TR 2 roadster RHD, roues disque",Historic at Brooklands,30 461 €,REST+,V,TR 3 A roadster,6738,1957
TRIUMPH,Brooklands,TR 2 roadster RHD préparé,Historic at Brooklands,27 000 €,REST/TR,V,TR 3 A roadster,6738,1957
TRIUMPH,Brooklands,"TR 2 roadster RHD, compresseur",Historic at Brooklands,19 800 €,REST/TR,V,TR 3 A roadster,6738,1957
TRIUMPH,Lyon,TR 2 roadster,Besch Cannes Auction,24 000 €,REST,V,TR 3 A roadster,6738,1957
TRIUMPH,Londres,TR 2 roadster RHD,Coys,14 300 €,REST,V,TR 3 A roadster,6738,1957
TRIUMPH,Paris,"TR 2 roadster LHD, hard-top, roues fil","Artcurial Briest, Poulain, F. Ta",14 500 €,REST,V,TR 3 A roadster,6738,1957
TRIUMPH,Sandown Park,"TR 2 roadster RHD, roues fil",Barons Auctions,13 800 €,REST,V,TR 3 A roadster,6738,1957
TRIUMPH,Buxton,"TR 2 roadster RHD, roues fil",H & H Classic Auctions,21 750 €,REST+,V,TR 3 A roadster,6738,1957
TRIUMPH,Londres,"TR 2 roadster RHD, roues fil",Coys Auctions,15 300 €,REST,V,TR 3 A roadster,6738,1957
TRIUMPH,Leominster,TR 2 roadster RHD,Brightwells,6 600 €,RAR,V,TR 3 A roadster,6738,1957
,,,,,,,TR 3 A roadster,6737,1957
TRIUMPH,Birmingham,TR 2 roadster (portes longues) RHD,Silverstone Auction,21 250 €,REST,V,TR 3 A roadster,6737,1957
TRIUMPH,Ascot,TR 2 roadster LHD,Historics at Brooklands,26 040 €,REST,V,TR 3 A roadster,6737,1957
TRIUMPH,Duxford,TR 2 roadster (long doors),H & H Classic Auctions,47 407 €,REST,V,TR 3 A roadster,6737,1957
TRIUMPH,Lyon,TR 2 roadster LHD (portes longues),Claude Aguttes,33 600 €,REST,V,TR 3 A roadster,6737,1957
TRIUMPH,Sainte-Geneviève,"TR 2 roadster ""portes longues"" ex-USA",Australe,14 600 €,REST-,V,TR 3 A roadster,6737,1957
,,,,,,,TR 3 A roadster,2&idCote,1957
TRIUMPH,Birmingham,TR 2 roadster (portes longues) RHD,Silverstone Auction,21 250 €,REST,V,TR 3 A roadster,2&idCote,1957
TRIUMPH,Ascot,TR 2 roadster LHD,Historics at Brooklands,26 040 €,REST,V,TR 3 A roadster,2&idCote,1957
TRIUMPH,Duxford,TR 2 roadster (long doors),H & H Classic Auctions,47 407 €,REST,V,TR 3 A roadster,2&idCote,1957
TRIUMPH,Lyon,TR 2 roadster LHD (portes longues),Claude Aguttes,33 600 €,REST,V,TR 3 A roadster,2&idCote,1957
TRIUMPH,Sainte-Geneviève,"TR 2 roadster ""portes longues"" ex-USA",Australe,14 600 €,REST-,V,TR 3 A roadster,2&idCote,1957
,,,,,,,TR 3 A roadster,6736,1957
TRIUMPH,Sandown Park,Mayflower coach RHD,Barons,2 750 €,OR+,V,TR 3 A roadster,6736,1957
,,,,,,,TR 3 A roadster,6735,1957
TRIUMPH,Tupelo,2000 Roadster RHD,Bonhams,17 970 €,REST,V,TR 3 A roadster,6735,1957
TRIUMPH,Strasbourg,2000 Roadster,Osenat,28 800 €,RAR,V,TR 3 A roadster,6735,1957
TRIUMPH,Amelia Island,2000 Roadster,Bonhams,37 090 €,REST,V,TR 3 A roadster,6735,1957
TRIUMPH,Fort Lauderdale,2000 Roadster,Fort Lauderdale Dave Rupp,28 500 €,REST,V,TR 3 A roadster,6735,1957
TRIUMPH,Londres,2000 Roadster RHD,Bonhams,36 745 €,REST,V,TR 3 A roadster,6735,1957
TRIUMPH,Brooklands,2000 Roadster,Historics at Brooklands,10 910 €,REST,V,TR 3 A roadster,6735,1957
TRIUMPH,Sainte-Geneviève,2000 Roadster,Australe,6 800 €,OR-,V,TR 3 A roadster,6735,1957
TRIUMPH,Le Plessis-Bouchard,2000 Roadster,"SCP Riquier, Salvi, Gras",21 500 €,OR+,V,TR 3 A roadster,6735,1957
TRIUMPH,Toffen,2000 Roadster,Oldtimer Galerie Toffen,49 000 €,REST,V,TR 3 A roadster,6735,1957
TRIUMPH,Toffen,2000 Roadster,Oldtimer Galerie Toffen,28 280 €,REST,V,TR 3 A roadster,6735,1957
TRIUMPH,Buxton,2000 Roadster,H & H Classic Auctions,3 750 €,OR-,V,TR 3 A roadster,6735,1957
,,,,,,,TR 3 A roadster,6734,1957
TRIUMPH,Toffen,1800 Roadster,Oldtimer Galerie Toffen,20 390 €,REST,V,TR 3 A roadster,6734,1957
TRIUMPH,Lyon,1800 Roadster RHD,Claude Aguttes,24 000 €,RAR,V,TR 3 A roadster,6734,1957
TRIUMPH,Buxton,1800 Roadster,H & H Classic Auctions,15 000 €,REST,V,TR 3 A roadster,6734,1957
TRIUMPH,Genève,1800 Roadster (TRD 1310),The Sportscar Auction Co.,27 700 €,REST,V,TR 3 A roadster,6734,1957
,,,,,,,TR 3 A roadster,8242,1957
TRIUMPH,Gaydon,Renown limousine RHD,Bonhams,1 130 €,RAR,V,TR 3 A roadster,8242,1957
,,,,,,,TR 3 A roadster,6733,1957
TRIUMPH,Fontainebleau,Renown Saloon RHD,Jean-Pierre Osenat,11 920 €,REST,V,TR 3 A roadster,6733,1957
TRIUMPH,Fontainebleau,Renown Saloon RHD,Jean-Pierre Osenat,17 275 €,OR+,V,TR 3 A roadster,6733,1957
,,,,,,,TR 3 A roadster,6732,1957
TRIUMPH,Londres,1800 limousine RHD,Bonhams,1 890 €,OR,V,TR 3 A roadster,6732,1957
,,,,,,,TR 3 A roadster,8240,1957
TRIUMPH,Goodwood,Dolomite 16 roadster 6 cylindres,Bonhams,26 950 €,REST,V,TR 3 A roadster,8240,1957
,,,,,,,TR 3 A roadster,8237,1957
TRIUMPH,Buxton,Dolomite 14/60 berline 4-cylindres RHD,H and H,12 410 €,OR-,V,TR 3 A roadster,8237,1957
TRIUMPH,Goodwood,Dolomite 14 berline 4 cylindres,Bonhams,17 050 €,REST,V,TR 3 A roadster,8237,1957
TRIUMPH,Londres,Dolomite 14 berline RHD,Coys Auctions,6 050 €,OR+,V,TR 3 A roadster,8237,1957
,,,,,,,,,
,,,,,,,Dové GTR 4 coupé,,1961
,,,,,,,Herald (950) coupé,,1960
,,,,,,,,,
,,,,,,,1900 Ti berline,,1953
,,,,,,,1900 Ti Super berline,,1954
,,,,,,,1900 Primavera coach,,1955
