auction_brand,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
,,,,,,,YB 1 1/4 Litre limousine,4356,1952
MG,Scottsdale (Arizona),Arnolt cabriolet,Gooding & Co,81 400 €,REST+,V,YB 1 1/4 Litre limousine,4356,1952
,,,,,,,YB 1 1/4 Litre limousine,4362,1952
MG,Goodwood,Magna F roadster 6 cylindres,Bonhams,104 000 €,REST,V,YB 1 1/4 Litre limousine,4362,1952
MG,Duxford,Magna F roadster,H & H Classic Auctions,84 060 €,REST,V,YB 1 1/4 Litre limousine,4362,1952
MG,Amelia Island,"Magna F 2 roadster Jarvis, compresseur Arnott",RM Sotheby's,94 050 €,REST,V,YB 1 1/4 Litre limousine,4362,1952
MG,Beaulieu,Magna F tourer 6-cyl. 1.3 l,Bonhams,29 920 €,REST,V,YB 1 1/4 Litre limousine,4362,1952
MG,Coventry,Magna F 1 tourer,Silverstone Auctions,45 560 €,REST,V,YB 1 1/4 Litre limousine,4362,1952
,,,,,,,YB 1 1/4 Litre limousine,4364,1952
MG,Monterey,"Magna L roadster (6 cylindres 1,1 l)",RM Sotheby's,70 150 €,REST,V,YB 1 1/4 Litre limousine,4364,1952
MG,Beaulieu,Magna L roadster 6-cyl 1.1 l,Bonhams,66 130 €,REST,V,YB 1 1/4 Litre limousine,4364,1952
,,,,,,,YB 1 1/4 Litre limousine,4363,1952
MG,Paris,Magna F 2 Foursome Coupé toit ouvrant,Artcurial Motorcars,83 440 €,OR+,V,YB 1 1/4 Litre limousine,4363,1952
,,,,,,,YB 1 1/4 Litre limousine,11429,1952
MG,Buxton,Magna L 1 Tourer (L 0454),H & H Classic Auctions,45 900 €,REST,V,YB 1 1/4 Litre limousine,11429,1952
MG,Goodwood,Magna L roadster recarrossé,Bonhams,37 400 €,REST/TR,V,YB 1 1/4 Litre limousine,11429,1952
,,,,,,,YB 1 1/4 Litre limousine,4366,1952
MG,goodwood,Magnette K 1 berline 6 cylindres,Bonhams,28 100 €,OR-,V,YB 1 1/4 Litre limousine,4366,1952
,,,,,,,Maestro 2.0 Turbo 5 portes,4369,1989
MG,Goodwood,"Magnette KN roadster UM Special, compresseur",Bonhams,107 510 €,REST,V,Maestro 2.0 Turbo 5 portes,4369,1989
,,,,,,,Maestro 2.0 Turbo 5 portes,4368,1989
MG,goodwood,Magnette K 2 roadster 6 cylindres,Bonhams,120 430 €,RAR,V,Maestro 2.0 Turbo 5 portes,4368,1989
MG,Cernobbio,"Magnette K 3 roadster, palmarès (K 3001)",RM Auctions,408 800 €,EX,V,Maestro 2.0 Turbo 5 portes,4368,1989
,,,,,,,Maestro 2.0 Turbo 5 portes,4367,1989
MG,Avignon,Magnette K 1 tourer 6 cylindres,Leclère Motorcars,62 400 €,REST,V,Maestro 2.0 Turbo 5 portes,4367,1989
,,,,,,,Maestro 2.0 Turbo 5 portes,4370,1989
MG,Beaulieu,Magnette NA tourer Wittingham & Mitchell (N701),Bonhams,87 369 €,REST+,V,Maestro 2.0 Turbo 5 portes,4370,1989
MG,Goodwood,Magnette NA monoplace,Bonhams,111 240 €,REST/TR,V,Maestro 2.0 Turbo 5 portes,4370,1989
,,,,,,,Maestro 2.0 Turbo 5 portes,4371,1989
MG,Goodwood,Magnette NE roadster 6-cyl. victorieuse du RAC-TT,Bonhams,211 780 €,REST,V,Maestro 2.0 Turbo 5 portes,4371,1989
MG,Carmel,Magnette NB tourer Carbodies,Bonhams,78 000 €,REST,V,Maestro 2.0 Turbo 5 portes,4371,1989
MG,Beaulieu,Magnette ND/NE roadster 6-cyl. spécial,Bonhams,102 510 €,REST/TR,V,Maestro 2.0 Turbo 5 portes,4371,1989
MG,London,Magnette NB coupé 6 cylindres,RM Auctions,145 600 €,REST,V,Maestro 2.0 Turbo 5 portes,4371,1989
,,,,,,,Maestro 2.0 Turbo 5 portes,4373,1989
MG,Tupelo,VA 1 1/2 Litre tourer,Bonhams,25 960 €,RAR,V,Maestro 2.0 Turbo 5 portes,4373,1989
MG,Brooklands,VA 1.5 l tourer 4-cyl ,Historics at Brooklands,21 848 €,REST,V,Maestro 2.0 Turbo 5 portes,4373,1989
MG,Paris,VA 1 1/2 Litre tourer,Bonhams,25 300 €,REST,V,Maestro 2.0 Turbo 5 portes,4373,1989
MG,Beaulieu,VA 1 1/2 Litre tourer,Bonhams,16 044 €,REC,V,Maestro 2.0 Turbo 5 portes,4373,1989
,,,,,,,Maestro 2.0 Turbo 5 portes,4375,1989
MG,Pebble Beach,SA 2 Litre Tourer,Gooding & Co,141 850 €,REST,V,Maestro 2.0 Turbo 5 portes,4375,1989
MG,Beaulieu,SA 6-cyl. 2 litres tourer,Bonhams,55 900 €,REST,V,Maestro 2.0 Turbo 5 portes,4375,1989
MG,Weybridge,SA 2 litre tourer Charlesworth,Bonhams,53 867 €,REST+,V,Maestro 2.0 Turbo 5 portes,4375,1989
MG,London,SA 2 Litre tourer 6 cylindres,RM Auction,71 250 €,REST,V,Maestro 2.0 Turbo 5 portes,4375,1989
,,,,,,,Maestro 2.0 Turbo 5 portes,4374,1989
MG,Reims,SA 2 Litre berline,HdV Porte de Mars (Guizzetti-Collet),11 400 €,REC/INC,V,Maestro 2.0 Turbo 5 portes,4374,1989
MG,Montastruc,SA 2 Litre Saloon,FEE Machoïr,27 600 €,OR+,V,Maestro 2.0 Turbo 5 portes,4374,1989
MG,Duxford,SA 2 Litre Saloon,H & H Classic Auctions,42 437 €,REST,V,Maestro 2.0 Turbo 5 portes,4374,1989
,,,,,,,Maestro 2.0 Turbo 5 portes,4376,1989
MG,Reims,SA 2 Litre cabriolet Tickford,HdV Porte de Mars (Guizzetti-Collet),14 400 €,REC/INC,V,Maestro 2.0 Turbo 5 portes,4376,1989
MG,Londres,SA 2 Litre cabriolet Tickford (SA 2507),Bonhams,12 300 €,OR-,V,Maestro 2.0 Turbo 5 portes,4376,1989
,,,,,,,Maestro 2.0 Turbo 5 portes,7813,1989
