auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,quote_id
ALFA ROMEO,20170312,MONTASTRUC-LA-CONSEILLÈRE,Spider 2.0 FL,FEE Machoïr,7200.0,OR-,V,7130
ALFA ROMEO,20161030,MONTASTRUC-LA-CONSEILLÈRE,Spider 2.0 FL,FEE Machoïr,8760.0,OR,V,7130
ALFA ROMEO,20150614,FONTAINEBLEAU,Spider 1.6 FL RHD,J.P. Osenat,4800.0,OR,V,7130
ALFA ROMEO,20091128,TOFFEN,Spider 2.0 FL,Oldtimer Galerie Toffen ,3900.0,OR,V,7130
ALFA ROMEO,20080303,LONDRES,Spider 2.0 FL RHD,Coys Auction ,4860.0,OR+,V,7130
ALFA ROMEO,20071216,FONTAINEBLEAU,Spider 1.6 FL ex-Italie,J.P. Osenat,5200.0,OR+,V,7130
ALFA ROMEO,20071021,SALZBOURG,Spider 1.6 FL,Dorotheum,4500.0,OR+,V,7130
ALFA ROMEO,20070915,TOFFEN,"Spider 2.0 FL, jantes alu",Oldtimer Galerie Toffen ,7800.0,OR+,V,7130
ALFA ROMEO,20070620,BUXTON,Spider 2.0 FL RHD,H & H Classic Auctions,3600.0,OR,V,7130
ALFA ROMEO,20070620,BUXTON,Spider 2.0 FL RHD,H & H Classic Auctions,6600.0,OR+,V,7130
ALFA ROMEO,20070527,BRANDS HATCH,Spider 2.0 FL LHD ex-USA,Coys Auction ,3900.0,OR+,V,7130
ALFA ROMEO,20061125,TOFFEN,Spider 2.0 FL,Oldtimer Galerie Toffen ,4030.0,OR+,V,7130
ALFA ROMEO,20140208,PARIS,2000 GTV Turbodelta,Artcurial,36952.0,OR+,V,8500
ALFA ROMEO,20181117,TURIN,156 GTA (3.2 V6) Sportwagon Selespeed,Aste Bolaffi,10930.0,OR+,V,12120
ALFA ROMEO,20180707,BROOKLANDS,166 V6 3.0 berline RHD,Brooklands Auctions,5820.0,OR+,V,12120
ALFA ROMEO,20170607,FLÉVILLE DEVANT NANCY,156 SW GTA 3.2 Selespeed toit ouvrant,Alcopa auction,5680.0,OR,V,12120
ALFA ROMEO,20160611,ZURICH,156 GTA 3.2 Selespeed berline,Oldtimer Galerie Toffen ,22708.0,OR+,V,12120
ALFA ROMEO,20090420,LONDRES,Alfasud Ti 1350 3 portes RHD,Bonhams,1100.0,OR+,V,9013
