auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,auction_url,model,quote_id,year
AUSTIN-HEALEY,16/04/2007,Paris,"Sprite Mark II roadster LHD, roues disque","Artcurial Briest, Le Fur, Poulai",5 500 €,REST-,V,,,607,
,,,,,,,,,,606,
AUSTIN-HEALEY,30/06/2019,Caen,Sprite Frogeye Speedwell roadster LHD,Marie Line Balsan / Dominique Pagneux,25 260 €,REST,V,,,606,
AUSTIN-HEALEY,10/04/2019,Buxton,Sprite Frogeye roadster RHD,H and H,16 980 €,REST,V,,,606,
AUSTIN-HEALEY,28/11/2018,Buxton,Sprite Frogeye roadster RHD,H and H,15 510 €,REST,V,,,606,
AUSTIN-HEALEY,20/10/2018,Toffen,Sprite Frogeye roadster,Oldtimer Galerie,15 670 €,REST,V,,,606,
AUSTIN-HEALEY,04/11/2018,Paris,"Sprite ”Frogeye” roadster, moteur 1275, boîte 5",Artcurial Motorcars,14 300 €,REST/TR,V,,,606,
AUSTIN-HEALEY,08/09/2018,Goodwood,Sprite Frogeye roadster,Bonhams,22 540 €,REST,V,,,606,
AUSTIN-HEALEY,08/09/2018,Goodwood,Sprite Mk I Sebring,Bonhams,45 080 €,REST,V,,,606,
AUSTIN-HEALEY,05/09/2018,Londres,"Sprite Frogeye prép. usine, ex-Monte-Carlo 1959",RM Sotheby's,121 220 €,REST,V,,,606,
AUSTIN-HEALEY,19/05/2018,Brooklands,Sprite Frogeye roadster,Historics at Brooklands,31 270 €,REST,V,,,606,
AUSTIN-HEALEY,06/04/2018,Fort Lauderdale,Sprite Frogeye roadster,RM Sotheby's,27 750 €,REST,V,,,606,
AUSTIN-HEALEY,21/03/2018,Duxford,Sprite Frogeye roadster,H and H Classics,12 890 €,REST,V,,,606,
AUSTIN-HEALEY,09/09/2017,Goodwood,Sprite Frogeye roadster,Bonhams,17 010 €,REST,V,,,606,
AUSTIN-HEALEY,24/06/2017,Santa Monica,Sprite Frogeye roadster,RM Sotheby's,16 710 €,REST,V,,,606,
AUSTIN-HEALEY,04/06/2017,Greenwich,"Sprite Frogeye roadster, moteur 1275, boîte 5",Bonhams,10 290 €,REST/TR,V,,,606,
AUSTIN-HEALEY,29/04/2017,Toffen,Sprite Frogeye roadster,Oldtimer Galerie Toffen,10 200 €,OR,V,,,606,
AUSTIN-HEALEY,26/11/2016,Toffen,Sprite Frogeye roadster RHD préparé ,Oldtimer Galerie Toffen,17 211 €,REST/TR,V,,,606,
,,,,,,,,,,7192,
AUSTIN-HEALEY,18/05/2019,Brooklands,3000 Mark III Phase 2 cabriolet RHD,Historics at Brooklands,96 870 €,REST,V,,,7192,
AUSTIN-HEALEY,02/09/2018,Auburn,3000 Mark III Phase 2 (BJ8L) cabriolet,RM Sotheby's,39 790 €,REST,V,,,7192,
AUSTIN-HEALEY,24/08/2018,Monterey,3000 Mark III Phase 2 (BJ8L) cabriolet,RM Sotheby's,81 840 €,REST,V,,,7192,
AUSTIN-HEALEY,17/08/2017,Pacific Grove,3000 Mark III Phase 2 cabriolet,Worldwide Auctioneers,69 260 €,REST,V,,,7192,
AUSTIN-HEALEY,04/06/2017,Greenwich,3000 Mark III Phase 2 cabriolet LHD,Bonhams,46 040 €,REST+,V,,,7192,
AUSTIN-HEALEY,05/02/2017,Rennes,3000 Mark III Phase 2 cabriolet,Rennes Enchères,82 600 €,REST,V,,,7192,
AUSTIN-HEALEY,20/03/2016,Goodwood,3000 Mark III Phase 2 cabriolet RHD,Bonhams,115 620 €,OR+,V,,,7192,
AUSTIN-HEALEY,10/03/2016,Amelia Island,3000 Mark III Phase 2 (BJ8L) cabriolet,Bonhams,68 440 €,REST,V,,,7192,
AUSTIN-HEALEY,15/03/2015,Fontainebleau,3000 Mark III Phase 2 cabriolet LHD,Jean-Pierre Osenat,46 200 €,REST,V,,,7192,
AUSTIN-HEALEY,05/02/2015,Paris,"3000 Mark III Phase 2 cabriolet LHD, boîte 5",Bonhams,64 900 €,REST,V,,,7192,
AUSTIN-HEALEY,11/10/2013,Knokke-le-Zoute,3000 Mk III BJ8 cabriolet,Bonhams,55 200 €,REST,V,,,7192,
AUSTIN-HEALEY,12/07/2013,Goodwood,3000 Mk III phase 2 cabriolet,Bonhams,55 560 €,REST,V,,,7192,
AUSTIN-HEALEY,11/03/2011,AmeliA IslAnd,"3000 Mark III ""Phase 2"" cabriolet LHD",Gooding & Company,48 600 €,REST+,V,,,7192,
AUSTIN-HEALEY,05/02/2011,Paris,"3000 Mark III ""Phase 2"" cabriolet LHD",Bonhams,50 000 €,REST+,V,,,7192,
AUSTIN-HEALEY,17/09/2010,Goodwood,"3000 Mark III ""Phase 2"" cabriolet RHD",Bonhams,30 350 €,OR+,V,,,7192,
AUSTIN-HEALEY,30/04/2010,Monaco,"3000 Mark III ""Phase 2"" cabriolet",Bonhams,27 500 €,REST,V,,,7192,
,,,,,,,,,,605,
AUSTIN-HEALEY,05/07/2019,Goodwood,"3000 Mark III (BJ8) compétition, victorieuse du Spa-Sofia-Liège",Bonhams,256 700 €,REST,V,,,605,
AUSTIN-HEALEY,29/05/2019,Auburn,3000 Mark III (BJ8) cabriolet,RM Sotheby's,72 810 €,REST,V,,,605,
AUSTIN-HEALEY,02/06/2019,Greenwich,3000 Mark III (BJ8) cabriolet overdrive,Bonhams,54 660 €,REST,V,,,605,
AUSTIN-HEALEY,10/04/2019,Buxton,3000 Mark III (BJ8) cabriolet,H and H,55 500 €,REST,V,,,605,
AUSTIN-HEALEY,29/03/2019,Fort Lauderdale,3000 Mark III (BJ8) cabriolet,RM Sotheby,55 800 €,REST,V,,,605,
AUSTIN-HEALEY,29/03/2019,Fort Lauderdale,3000 Mark III (BJ8) cabriolet,RM Sotheby,62 660 €,REST,V,,,605,
AUSTIN-HEALEY,29/03/2019,Fort Lauderdale,3000 Mark III (BJ8) cabriolet,RM Sotheby,47 970 €,REST,V,,,605,
AUSTIN-HEALEY,07/03/2019,Amelia Island,3000 Mark III (BJ8) cabriolet,Bonhams,37 760 €,REST,V,,,605,
AUSTIN-HEALEY,08/03/2019,Amelia Island,3000 Mark III (BJ8) cabriolet,RM Sotheby,49 900 €,REST,V,,,605,
AUSTIN-HEALEY,10/11/2018,Birmingham,3000 Mark III (BJ8) cabriolet,Silverstone Auction,52 150 €,REST,V,,,605,
AUSTIN-HEALEY,22/09/2018,Brooklands,3000 Mark III (BJ8L) cabriolet,Historics at Brooklands,49 190 €,REST,V,,,605,
AUSTIN-HEALEY,22/09/2018,Brooklands,3000 Mark III (BJ8) cabriolet,Historics at Brooklands,77 830 €,REST,V,,,605,
AUSTIN-HEALEY,25/03/2018,Avignon,3000 Mark III (BJ8L) cabriolet,Leclère,70 800 €,REST,V,,,605,
AUSTIN-HEALEY,08/03/2018,Amelia Island,3000 Mark III (BJ8L) cabriolet,Bonhams,50 490 €,REST,V,,,605,
AUSTIN-HEALEY,18/01/2018,Phoenix,3000 Mark III cabriolet,RM Sotheby's,64 050 €,REST,V,,,605,
AUSTIN-HEALEY,12/11/2017,Lyon,3000 Mark III (BJ8) cabriolet,Osenat,55 200 €,REST,V,,,605,
,,,,,,,,,,604,
AUSTIN-HEALEY,18/01/2018,Scottsdale,3000 Mark II A cabriolet,Bonhams,35 050 €,REST,V,,,604,
AUSTIN-HEALEY,02/09/2017,Blenheim Palace,3000 Mark II A (BJ7) cabriolet,Silverstone Auctions,72 990 €,REST,V,,,604,
AUSTIN-HEALEY,09/03/2017,Amelia Island,3000 Mark II A (BJ7L) cabriolet,Bonhams,33 010 €,REST,V,,,604,
AUSTIN-HEALEY,02/07/2016,Lyon,3000 Mark II A (BJ7L) cabriolet LHD,Claude Aguttes,48 000 €,REST,V,,,604,
AUSTIN-HEALEY,19/06/2016,Fontainebleau,3000 Mark II A (BJ7) cabriolet LHD,Jean-Pierre Osenat,61 200 €,REST,V,,,604,
AUSTIN-HEALEY,27/02/2015,Berlin,"3000 Mark II (BT7L) roadster 2+2 LHD, boîte 5",Auctionata,55 710 €,REST/TR,V,,,604,
AUSTIN-HEALEY,22/06/2014,Fontainebleau,3000 Mark II A (BJ 7) cabriolet LHD,Jean-Pierre Osenat,54 832 €,REST+,V,,,604,
AUSTIN-HEALEY,22/05/2010,Fréjus,"3000 Mark II ""A"" (BJ7) cabriolet LHD",Besch Cannes Auction / M. Cornu,40 000 €,REST,V,,,604,
AUSTIN-HEALEY,18/09/2009,Goodwood,"3000 Mark II ""A"" cabriolet RHD, 15 600 miles orig.",Bonhams,20 900 €,OR+,V,,,604,
AUSTIN-HEALEY,21/04/2008,Londres,"3000 Mark II ""A"" (BJ7L) cabriolet conv. RHD",Bonhams,31 050 €,REST/TR,V,,,604,
AUSTIN-HEALEY,10/10/2007,Duxford,"3000 Mark II ""A"" (BJ7L) cabriolet, conversion RHD",H & H Classic Auctions,21 000 €,REST/TR,V,,,604,
AUSTIN-HEALEY,09/09/2007,Ragley Hall,"3000 Mark II ""A"" (BJ7L) cabriolet hard-top préparé",Coys,31 500 €,REST/TR,V,,,604,
AUSTIN-HEALEY,17/08/2007,Quail Lodge,"3000 Mark II ""A"" (BJ7L) cabriolet",Bonhams & Butterfields,39 000 €,REST+,V,,,604,
AUSTIN-HEALEY,15/10/2006,Fontainebleau,"3000 Mark II ""A"" (BJ7) cabriolet LHD",Jean-Pierre Osenat,28 500 €,REST,V,,,604,
AUSTIN-HEALEY,13/09/2006,Buxton,"3000 Mark II ""A"" (BJ7L) cabriolet conversion RHD",H & H Classic Auctions,25 500 €,REST/TR,V,,,604,
,,,,,,,,,,11802,
AUSTIN-HEALEY,29/03/2019,Fort Lauderdale,3000 Mark II (BT7) roadster 2+2 + hard-top,RM Sotheby,34 890 €,REST,V,,,11802,
AUSTIN-HEALEY,24/11/2018,Brooklands,3000 Mark II (BT7L) roadster 2+2,Historics at Brooklands,45 070 €,REST,V,,,11802,
AUSTIN-HEALEY,04/11/2018,Paris,"3000 Mark II (BT7L) roadster 2+2, 3 Weber, disques",Artcurial Motorcars,64 370 €,REST+,V,,,11802,
AUSTIN-HEALEY,22/09/2018,Brooklands,3000 Mark II (BT7L) roadster 2+2,Historics at Brooklands,35 020 €,REST,V,,,11802,
AUSTIN-HEALEY,02/09/2018,Auburn,3000 Mark II (BT7L) roadster 2+2,RM Sotheby's,47 370 €,REST,V,,,11802,
AUSTIN-HEALEY,08/04/2018,Paris,3000 Mark II (BT7L) roadster 2+2,Artcurial Motorcars,59 600 €,REST+,V,,,11802,
AUSTIN-HEALEY,10/03/2018,Amelia Island,3000 Mark II (BT7L) roadster 2+2,RM Sotheby,66 070 €,REST,V,,,11802,
AUSTIN-HEALEY,25/11/2017,Brooklands,3000 Mark II (BT7) roadster 2+2,Historics at Brooklands,40 890 €,REST,V,,,11802,
AUSTIN-HEALEY,29/03/2017,Duxford,3000 Mark II (BT7L) roadster 2+2,H & H Classic Auctions,63 760 €,REST,V,,,11802,
AUSTIN-HEALEY,23/04/2016,Toffen,"3000 Mark II (BT7L) roadster hard-top, 3 carbus",Oldtimer Galerie Toffen,61 152 €,REST,V,,,11802,
AUSTIN-HEALEY,26/06/2015,Goodwood,3000 Mark II BT7 roadster LHD,Bonhams,77 910 €,REST+,V,,,11802,
AUSTIN-HEALEY,05/02/2015,Paris,3000 Mark II (BT7L) roadster 2+2 LHD,Bonhams,42 480 €,REST,V,,,11802,
AUSTIN-HEALEY,08/03/2014,Brooklands,3000 Mk II (BT7) roadster 2+2 LHD,Historics at Brooklands,68 116 €,REST,V,,,11802,
AUSTIN-HEALEY,12/07/2013,Goodwood,3000 Mk IIA cabriolet préparé course par BMC,Bonhams,27 780 €,OR-,V,,,11802,
AUSTIN-HEALEY,09/03/2013,Brooklands,3000 Mark II (BT7) roadster LHD,Historics at Brooklands,42 404 €,REST,V,,,11802,
AUSTIN-HEALEY,16/06/2012,Oxford,3000 Mark II (BT7L) roadster 2+2 LHD,Bonhams,31 443 €,REST+,V,,,11802,
,,,,,,,,,,603,
AUSTIN-HEALEY,08/03/2019,Amelia Island,3000 Mark II (BN7) roadster 2 places,RM Sotheby,54 890 €,REST,V,,,603,
AUSTIN-HEALEY,02/09/2018,Auburn,3000 Mark II (BN7L) roadster,RM Sotheby's,36 470 €,REST,V,,,603,
AUSTIN-HEALEY,18/08/2017,Carmel,3000 Mark II (BN7) roadster 2 places,Bonhams,40 290 €,REST,V,,,603,
AUSTIN-HEALEY,04/06/2017,Greenwich,3000 Mark II (BN7L) roadster,Bonhams,54 860 €,REST,V,,,603,
AUSTIN-HEALEY,28/01/2016,Scottsdale,3000 Mark II (BN7L) roadster LHD,Bonhams,64 470 €,REST,V,,,603,
AUSTIN-HEALEY,11/10/2013,Knokke-le-Zoute,3000 Mk II BN7 roadster 2 places,Bonhams,28 750 €,REST,V,,,603,
AUSTIN-HEALEY,11/03/2011,AmeliA IslAnd,3000 Mark II (BN7) roadster 2 places,Gooding & Company,49 680 €,REST+,V,,,603,
AUSTIN-HEALEY,17/09/2010,Goodwood,3000 Mark II (BN7) comp. usine “67 ARX”,Bonhams,123 830 €,EX,V,,,603,
,,,,,,,,,,11803,
AUSTIN-HEALEY,28/11/2018,Buxton,3000 (BT7) roadster hard-top 2+2,H and H,32 990 €,REST,V,,,11803,
AUSTIN-HEALEY,24/08/2018,Quail Lodge,"3000 (BT7L) roadster hard-top prép., caisse alu",Bonhams,52 440 €,REST/TR,V,,,11803,
AUSTIN-HEALEY,21/07/2018,Silverstone,3000 (BT7L) roadster 2+2 overdrive,Silverstone Auctions,42 830 €,REST,V,,,11803,
AUSTIN-HEALEY,07/07/2018,Le Mans,3000 (BT7L) roadster 2+2,Artcurial,97 740 €,REST,V,,,11803,
AUSTIN-HEALEY,14/04/2018,Lyon,3000 (BT7L) roadster 2+2,Aguttes,50 000 €,REST,V,,,11803,
AUSTIN-HEALEY,23/02/2018,Coventry,3000 (BT7) roadster 2+2 prép. Ruddspeed,Silverstone Auction,60 080 €,REST,V,,,11803,
AUSTIN-HEALEY,06/10/2017,Knokke-le-Zoute,3000 (BT7) roadster 2+2,Bonhams,82 800 €,REST,V,,,11803,
AUSTIN-HEALEY,01/05/2017,Obenheim,"3000 roadster LHD, coque nue",Jean-Pierre Osenat,1 800 €,INC,V,,,11803,
AUSTIN-HEALEY,09/03/2017,Amelia Island,3000 (BT7L) roadster 2+2,Bonhams,42 300 €,REST,V,,,11803,
AUSTIN-HEALEY,10/02/2017,Paris,"3000 (BT7) roadster 2+2 overdrive, préparé",Artcurial Motorcars,42 910 €,REST/TR,V,,,11803,
AUSTIN-HEALEY,17/10/2015,Nice,3000 Mark II BT7 roadster LHD,Stanislas Machoïr,144 000 €,REST+,V,,,11803,
AUSTIN-HEALEY,14/09/2013,Goodwood,"3000 (BT 7) roadster 2+2 RHD, roues fil",Bonhams,53 399 €,OR+,V,,,11803,
AUSTIN-HEALEY,03/02/2012,Paris,3000 (BN7) roadster LHD préparé,Artcurial Motorcars,42 889 €,REST/TR,V,,,11803,
AUSTIN-HEALEY,30/10/2011,Paris,3000 (BT7) roadster 2+2 LHD,Artcurial Motorcars,32 000 €,REST,V,,,11803,
AUSTIN-HEALEY,10/09/2011,Beaulieu,3000 (BT7) roadster 2+2,Bonhams,26 160 €,REST,V,,,11803,
AUSTIN-HEALEY,13/04/2011,Buxton,3000 (BT7) roadster 2+2 RHD,H & H Classic Auctions,30 210 €,REST,V,,,11803,
,,,,,,,,,,602,
AUSTIN-HEALEY,06/12/2017,Londres,3000 (BN7) roadster 2 places RHD,Bonhams,53 740 €,REST,V,,,602,
AUSTIN-HEALEY,09/09/2017,Goodwood,"3000 (BN7) roadster + hardtop, ex-Rallye Acropole",Bonhams,259 340 €,REST,V,,,602,
AUSTIN-HEALEY,19/01/2017,Phoenix,3000 (BN7L) roadster,RM Sotheby's,66 440 €,REST,V,,,602,
AUSTIN-HEALEY,14/05/2016,Monaco,3000 (BN7) compétition usine ex-R. Aaltonen,RM Sotheby's,403 200 €,EX,V,,,602,
AUSTIN-HEALEY,06/12/2015,Londres,3000 roadster compétition usine (SMO 746),Bonhams,265 600 €,REST+,V,,,602,
