auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,auction_url,model,quote_id,year
ASTON MARTIN,24/08/2018,Pebble Beach,DB-AR 1 V12 roadster Zagato,Gooding & Co,236 420 €,OR+,V,,,12006,
ASTON MARTIN,24/08/2018,Monterey,DB-AR 1 V12 roadster Zagato,RM Sotheby's,240 720 €,OR+,V,,,12006,
ASTON MARTIN,07/07/2018,Le Mans,DB-RS 9 GT3 V12,Artcurial,220 520 €,OR+,V,,,12006,
ASTON MARTIN,10/03/2018,Amelia Island,DB-AR 1 V12 roadster Zagato,RM Sotheby,250 210 €,OR+,V,,,12006,
ASTON MARTIN,18/01/2018,Phoenix,DB-AR 1 roadster Zagato,RM Sotheby's,273 700 €,OR+,V,,,12006,
ASTON MARTIN,13/05/2017,Silverstone,DB 9 Saloon RHD,Silverstone Auctions,56 470 €,OR+,V,,,12006,
ASTON MARTIN,13/05/2017,Silverstone,DB 9 Saloon RHD,Silverstone Auctions,56 470 €,OR+,V,,,12006,
ASTON MARTIN,19/01/2017,Phoenix,DB-AR 1 V12 roadster Zagato,RM Sotheby's,352 630 €,OR+,V,,,12006,
ASTON MARTIN,07/12/2016,Londres,DB 9 V12 Volante LHD Touchtronic,Bonhams,72 850 €,OR+,V,,,12006,
ASTON MARTIN,26/11/2016,Brooklands,DB 9 Volante,Historics at Brooklands,55 813 €,OR+,V,,,12006,
ASTON MARTIN,07/09/2016,Londres,V12 Zagato coupé,RM Sotheby's,780 000 €,OR+,V,,,12006,
ASTON MARTIN,14/05/2016,Monaco,DB-AR 1 V12 roadster Zagato,RM Sotheby's,336 000 €,OR+,V,,,12006,
ASTON MARTIN,20/03/2016,Fontainebleau,V8 Vantage Volante cabriolet LHD,Jean-Pierre Osenat,48 000 €,OR+,V,,,12006,
ASTON MARTIN,12/03/2016,Amelia Island,DB-AR 1 V12 roadster Zagato,RM Sotheby's,326 700 €,OR+,V,,,12006,
,,,,,,,,,,7154,
ASTON MARTIN,27/04/2019,Tupelo,Lagonda berline,Bonhams,29 950 €,OR,V,,,7154,
ASTON MARTIN,06/02/2019,Paris,Lagonda berline série 4,RM Sotheby's,120 750 €,OR+,V,,,7154,
ASTON MARTIN,06/02/2019,Paris,Lagonda Tickford berline,RM Sotheby's,80 500 €,OR+,V,,,7154,
ASTON MARTIN,24/11/2018,Mâle,DB 9 V12 coupé,Julien Thomas / D. Pagneux,59 510 €,OR+,V,,,7154,
ASTON MARTIN,04/11/2018,Paris,Rapide V12 berline LHD,Artcurial Motorcars,90 590 €,OR+,V,,,7154,
ASTON MARTIN,02/06/2018,Reading,Lagonda berline,Bonhams,17 620 €,OR-,V,,,7154,
ASTON MARTIN,02/06/2018,Reading,Lagonda berline,Bonhams,32 630 €,REST,V,,,7154,
ASTON MARTIN,30/06/2017,Goodwood,Lagonda Series 2 Saloon RHD,Bonhams,45 760 €,OR+,V,,,7154,
ASTON MARTIN,04/06/2017,Greenwich,Lagonda berline Series 3,Bonhams,47 020 €,OR+,V,,,7154,
ASTON MARTIN,13/05/2017,Newport Pagnell,Lagonda berline série 4,Bonhams,107 270 €,REST,V,,,7154,
ASTON MARTIN,13/05/2017,Newport Pagnell,Lagonda berline RHD,Bonhams,33 850 €,REST+,V,,,7154,
ASTON MARTIN,09/03/2017,Amelia Island,Lagonda berline,Bonhams,39 720 €,OR+,V,,,7154,
ASTON MARTIN,25/02/2017,Coventry,Lagonda berline RHD (série 2),Silverstone Auctions,22 080 €,OR,V,,,7154,
ASTON MARTIN,10/02/2017,Paris,"Lagonda berline LHD, toit ouvrant AR",Artcurial Motorcars,53 640 €,OR+,V,,,7154,
ASTON MARTIN,19/01/2017,Scottsdale,Lagonda berline,Bonhams,87 940 €,OR+,V,,,7154,
ASTON MARTIN,19/08/2016,Carmel,Lagonda berline LHD,Bonhams,80 000 €,OR+,V,,,7154,
,,,,,,,,,,12316,
ASTON MARTIN,06/02/2019,Paris,Vanquish V12 S coupé,RM Sotheby's,132 250 €,OR+,V,,,12316,
ASTON MARTIN,05/09/2018,Londres,Vanquish V12 S coupé,RM Sotheby's,121 220 €,OR+,V,,,12316,
ASTON MARTIN,13/07/2018,Goodwood,Vanquish V12 S coupé RHD,Bonhams,185 210 €,OR+,V,,,12316,
ASTON MARTIN,02/06/2018,Reading,DBS Coupé V12 5.9,Bonhams,100 840 €,OR+,V,,,12316,
ASTON MARTIN,17/08/2017,Pacific Grove,Vanquish V12 S coupé,Worldwide Auctioneers,91 250 €,OR+,V,,,12316,
,,,,,,,,,,12315,
ASTON MARTIN,25/05/2019,Cernobbio,Vanquish V12 Zagato Shooting brake break,RM Sotheby's,511 250 €,OR+,V,,,12315,
ASTON MARTIN,08/12/2018,Los Angeles,Vanquish Zagato Villa d'Este V12 coupé,RM Sotheby's,541 430 €,OR+,V,,,12315,
ASTON MARTIN,24/08/2018,Monterey,Vanquish V12 coupé,RM Sotheby's,723 010 €,OR+,V,,,12315,
ASTON MARTIN,17/06/2018,Fontainebleau,Vanquish V12 coupé LHD,Osenat,74 400 €,OR+,V,,,12315,
ASTON MARTIN,14/04/2018,Fontainebleau,Vanquish V12 coupé,Osenat,75 600 €,OR+,V,,,12315,
ASTON MARTIN,25/11/2017,Brooklands,Vanquish Volante V12 cabriolet,Historics at Brooklands,122 480 €,OR+,V,,,12315,
ASTON MARTIN,02/07/2017,Monaco,Vanquish V12 coupé LHD,Artcurial Motorcars,101 930 €,OR+,V,,,12315,
ASTON MARTIN,04/06/2017,Greenwich,"Vanquish V12 coupé LHD, conv. man.",Bonhams,79 350 €,OR+,V,,,12315,
ASTON MARTIN,13/05/2017,Newport Pagnell,"Vanquish V12 coupé RHD, évol. S",Bonhams,107 270 €,OR+,V,,,12315,
ASTON MARTIN,19/01/2017,Scottsdale,Vanquish V12 coupé,Bonhams,67 250 €,OR+,V,,,12315,
ASTON MARTIN,25/11/2016,Milan,Vanquish V12 coupé,RM Sotheby's,98 560 €,OR+,V,,,12315,
ASTON MARTIN,25/11/2016,Milan,V8 Vantage coupé,RM Sotheby's,49 280 €,OR+,V,,,12315,
ASTON MARTIN,26/11/2016,Brooklands,Vanquish V12 Saloon,Historics at Brooklands,110 031 €,OR+,V,,,12315,
,,,,,,,,,,12005,
ASTON MARTIN,01/12/2018,Londres,DB 7 Vantage V12 Zagato RHD (n° 81/99),Bonhams,283 790 €,OR+,V,,,12005,
ASTON MARTIN,22/09/2018,Brooklands,DB 9 V12 Saloon,Historics at Brooklands,28 080 €,OR+,V,,,12005,
ASTON MARTIN,07/07/2018,Brooklands,DB 9 Saloon 6.0 RHD,Historics at Brooklands,33 200 €,OR+,V,,,12005,
ASTON MARTIN,02/12/2017,Londres,DB 7 V12 Zagato coupé RHD,Bonhams,409 050 €,OR+,V,,,12005,
ASTON MARTIN,29/03/2017,Duxford,DB 7 Vantage V12 Zagato,H & H Classic Auctions,315 240 €,OR+,V,,,12005,
ASTON MARTIN,10/03/2017,Amelia Island,DB 7 Vantage V12 Zagato coupé,Gooding & Co.,32 470 €,OR+,V,,,12005,
ASTON MARTIN,10/03/2017,Amelia Island,DB 7 V12 Zagato coupé LHD méc. (n° 40/99),RM Sotheby's,335 160 €,OR+,V,,,12005,
ASTON MARTIN,08/02/2017,Paris,DB 7 V12 Zagato coupé (n° 1/99),RM Sotheby's,400 400 €,EX,V,,,12005,
ASTON MARTIN,08/02/2017,Paris,V12 Zagato coupé Numéro Zéro,RM Sotheby's,766 480 €,EX,V,,,12005,
ASTON MARTIN,04/12/2016,Londres,"DB 7 Vantage V12 Zagato LHD, 900 km or.",Bonhams,367 720 €,EX,V,,,12005,
ASTON MARTIN,21/05/2016,Newport Pagnell,Vanquish S coupé V12 LHD,Bonhams,107 730 €,OR+,V,,,12005,
ASTON MARTIN,21/05/2016,Newport Pagnell,Vantage V 600 Le Mans coupé 6 vit.,Bonhams,589 550 €,OR+,V,,,12005,
ASTON MARTIN,20/03/2016,Goodwood,Vanquish V12 coupé,Bonhams,78 660 €,OR+,V,,,12005,
,,,,,,,,,,12004,
ASTON MARTIN,23/06/2019,Paris,DB 7 Vantage V12 Volante cabriolet,Claude Aguttes,52 220 €,OR+,V,,,12004,
ASTON MARTIN,30/03/2019,Toffen,DB 7 Vantage V12 Volante cabriolet,Oldtimer Galerie,29 080 €,OR+,V,,,12004,
ASTON MARTIN,10/04/2019,Buxton,DB 7 Vantage V12 Volante cabriolet RHD,H and H,43 090 €,OR+,V,,,12004,
ASTON MARTIN,04/11/2018,Paris,"DB 7 Vantage V12 Volante, Visual Dynamic Pack",Artcurial Motorcars,59 600 €,OR+,V,,,12004,
ASTON MARTIN,22/09/2018,Brooklands,DBS Volante cabriolet RHD,Historics at Brooklands,75 970 €,OR+,V,,,12004,
ASTON MARTIN,06/04/2018,Fort Lauderdale,DB 7 Vantage V12 Volante,RM Sotheby's,28 730 €,OR+,V,,,12004,
ASTON MARTIN,08/04/2018,Paris,DB 7 Vantage V12 Volante,Artcurial Motorcars,45 300 €,OR+,V,,,12004,
ASTON MARTIN,24/09/2017,Montlhéry,DB 7 Vantage V12 Volante cabriolet,Aguttes,52 860 €,OR+,V,,,12004,
