auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,auction_url,model,quote_id,year
BMW,01/10/2011,Munich,3.0 Si berline,Bonhams,12 500 €,OR+/EX,V,,,804,
,,,,,,,,,,9067,
BMW,02/06/2019,Greenwich,"M 635 CSi coupé (286 ch), ex-Prince d'Abu Dhabi",Bonhams,36 100 €,OR+,V,,,9067,
BMW,21/04/2019,Montastruc la Conseillère,M 635 CSi coupé (286 ch),Stanislas Machoïr,22 800 €,OR,V,,,9067,
BMW,29/03/2019,Fort Lauderdale,M 6 coupé (286 ch),RM Sotheby,40 140 €,OR+,V,,,9067,
BMW,06/02/2019,Paris,M 6 coupé (250 km/h),RM Sotheby's,57 500 €,OR+,V,,,9067,
BMW,17/01/2019,Scottsdale,M 635 CSi coupé (256 ch),Bonhams,63 850 €,OR+,V,,,9067,
BMW,17/11/2018,Turin,M 635 CSi coupé,Aste Bolaffi,69 000 €,REST+,V,,,9067,
BMW,25/11/2017,Brooklands,M 635 CSi coupé (286 ch),Historics at Brooklands,37 590 €,OR+,V,,,9067,
BMW,14/10/2017,Toffen,M 635 CSi coupé (286 ch),Oldtimer Galerie Toffen,48 570 €,OR+,V,,,9067,
BMW,02/10/2017,Philadelphie,M 635 CSi coupé (286 ch),Bonhams,27 610 €,OR+,V,,,9067,
BMW,04/06/2017,Greenwich,M 6 coupé USA,Bonhams,48 980 €,OR+,V,,,9067,
BMW,09/03/2017,Amelia Island,M 635 CSi coupé USA,Bonhams,98 530 €,OR+,V,,,9067,
BMW,25/11/2016,Milan,M 635 CSi coupé,RM Sotheby's,56 000 €,OR+,V,,,9067,
BMW,09/07/2016,Le Mans,M 635 CSi coupé,Artcurial Motorcars,47 680 €,OR+,V,,,9067,
BMW,05/02/2016,Paris,M 635 CSi coupé,Artcurial Motorcars,41 720 €,OR+,V,,,9067,
BMW,10/12/2015,Londres,M 635 CSi coupé RHD,Bonhams,38 200 €,OR+,V,,,9067,
BMW,11/10/2014,Paris,M 635 CSi coupé,SVV Cornette de Saint-Cyr,22 420 €,OR+,V,,,9067,
,,,,,,,,,,8340,
BMW,17/06/2019,Paris,Z 1 roadster,Artcurial,36 950 €,OR,V,,,8340,
BMW,25/05/2019,Lucerne,Z 1 roadster,Oldtimer Galerie,51 670 €,OR+,V,,,8340,
BMW,08/02/2019,Paris,Z 1 roadster,Artcurial,59 600 €,OR+,V,,,8340,
BMW,17/01/2019,Scottsdale,Alpina Z 1 roadster,Bonhams,93 310 €,OR+,V,,,8340,
BMW,04/11/2018,Paris,Z 1 roadster,Artcurial Motorcars,38 140 €,OR+,V,,,8340,
BMW,08/04/2018,Paris,Z 1 roadster,Artcurial Motorcars,64 370 €,OR+,V,,,8340,
BMW,06/12/2017,Londres,Z 1 roadster,Bonhams,43 530 €,OR+,V,,,8340,
BMW,21/05/2017,Spa,Z 1 roadster évol. Alpina RLE 2.7,Bonhams,58 650 €,REST/TR,V,,,8340,
