auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,auction_url,model,quote_id,year
ALFA ROMEO,23/04/2016,Brazey en Plaine,GT 1300 Junior coupé Bertone ,HdV Victor Hugo,135 €,EP,V,,,147,
ALFA ROMEO,28/11/2015,Brooklands,"GT 1300 Junior coupé RHD, moteur 2000",Historics at Brooklands,25 049 €,REST/TR,V,,,147,
ALFA ROMEO,22/06/2015,Paris,"GT 1300 Junior coupé, préparé compétition",Artcurial Motorcars,53 640 €,REST/TR,V,,,147,
ALFA ROMEO,25/04/2015,Toffen,GT 1300 Junior coupé Bertone,Oldtimer Galerie Toffen,19 850 €,REST,V,,,147,
,,,,,,,,,,7130,
ALFA ROMEO,07/04/2019,Le Mans,Spider 2.0 pare-chocs caoutchouc,Marie Line Balsan / Dominique Pagneux,6 730 €,OR-,V,,,7130,
ALFA ROMEO,20/10/2018,Fontainebleau,Spider 2.0 FL,Osenat,12 960 €,OR,V,,,7130,
ALFA ROMEO,30/09/2018,Linas,Spider 2.0 FL,Aguttes,13 570 €,REST,V,,,7130,
ALFA ROMEO,11/05/2018,Auburn,Spider 2.0 FL,RM Sotheby's,9 670 €,OR+,V,,,7130,
ALFA ROMEO,12/03/2017,Montastruc,Spider 2.0 FL,Stanislas Machoïr,7 200 €,OR-,V,,,7130,
ALFA ROMEO,30/10/2016,Montastruc,Spider 2.0 FL,Stanislas Machoïr,8 760 €,OR,V,,,7130,
ALFA ROMEO,14/06/2015,Fontainebleau,Spider 1.6 FL RHD,Jean-Pierre Osenat,4 800 €,OR,V,,,7130,
ALFA ROMEO,28/11/2009,Toffen,Spider 2.0 FL,Oldtimer Galerie Toffen,3 900 €,OR,V,,,7130,
ALFA ROMEO,03/03/2008,Londres,Spider 2.0 FL RHD,Coys Auctions,4 860 €,OR+,V,,,7130,
ALFA ROMEO,16/12/2007,Fontainebleau,Spider 1.6 FL ex-Italie,Jean-Pierre Osenat,5 200 €,OR+,V,,,7130,
ALFA ROMEO,21/10/2007,Salzbourg,Spider 1.6 FL,Dorotheum,4 500 €,OR+,V,,,7130,
ALFA ROMEO,15/09/2007,Toffen,"Spider 2.0 FL, jantes alu",Oldtimer Galerie Toffen,7 800 €,OR+,V,,,7130,
ALFA ROMEO,20/06/2007,Buxton,Spider 2.0 FL RHD,H & H Classic Auctions,3 600 €,OR,V,,,7130,
ALFA ROMEO,20/06/2007,Buxton,Spider 2.0 FL RHD,H & H Classic Auctions,6 600 €,OR+,V,,,7130,
ALFA ROMEO,27/05/2007,Brands Hatch,Spider 2.0 FL LHD ex-USA,Coys Auctions,3 900 €,OR+,V,,,7130,
ALFA ROMEO,25/11/2006,Toffen,Spider 2.0 FL,Oldtimer Galerie Toffen,4 030 €,OR+,V,,,7130,
,,,,,,,,,,8500,
ALFA ROMEO,08/02/2014,Paris,2000 GTV Turbodelta,Artcurial Motorcars,36 952 €,OR+,V,,,8500,
,,,,,,,,,,12120,
ALFA ROMEO,17/11/2018,Turin,156 GTA (3.2 V6) Sportwagon Selespeed,Aste Bolaffi,10 930 €,OR+,V,,,12120,
ALFA ROMEO,07/07/2018,Brooklands,166 V6 3.0 berline RHD,Historics at Brooklands,5 820 €,OR+,V,,,12120,
ALFA ROMEO,07/06/2017,Fléville devant Nancy,156 SW GTA 3.2 Selespeed toit ouvrant,Alcopa Auction Nancy,5 680 €,OR,V,,,12120,
ALFA ROMEO,11/06/2016,Zürich,156 GTA 3.2 Selespeed berline,Oldtimer Galerie Toffen,22 708 €,OR+,V,,,12120,
,,,,,,,,,,9013,
ALFA ROMEO,20/04/2009,Londres,Alfasud Ti 1350 3 portes RHD,Bonhams,1 100 €,OR+,V,,,9013,
ALFA ROMEO,11/08/2007,Nürburgring,Alfasud Ti 1.2 3 portes Trofeo Groupe 2,Coys (Europe),21 000 €,TR,V,,,9013,
,,,,,,,,,,12119,
ALFA ROMEO,02/09/2018,Auburn,4C Launch Edition,RM Sotheby's,39 790 €,OR+,V,,,12119,
ALFA ROMEO,14/04/2018,Lyon,Brera Spider 3.2,Aguttes,22 000 €,OR+,V,,,12119,
ALFA ROMEO,09/02/2018,Paris,8 C Competizione,Artcurial,238 400 €,OR+,V,,,12119,
ALFA ROMEO,07/02/2018,Paris,8 C Competizione,RM Sotheby's,230 000 €,OR+,V,,,12119,
ALFA ROMEO,02/07/2017,Monaco,4 C Launch Edition (n° 471 / 500),Artcurial Motorcars,56 360 €,OR+,V,,,12119,
ALFA ROMEO,05/06/2016,Albi,Brera JTD,Stanislas Machoïr,10 800 €,OR+,V,,,12119,
,,,,,,,,,,12524,
ALFA ROMEO,08/03/2019,Amelia Island,8C Competizione Coupé ,Gooding & Co,318 120 €,OR+,V,,,12524,
ALFA ROMEO,08/03/2019,Amelia Island,8C Competizione Coupé ,RM Sotheby,288 720 €,OR+,V,,,12524,
ALFA ROMEO,18/01/2019,Scottsdale,8C Competizione Coupé ,Gooding Co.,294 670 €,OR+,V,,,12524,
,,,,,,,,,,11946,
ALFA ROMEO,10/05/2014,Monaco,"33/2 Daytona berlinette ex-Vaccarella, Schultze et Weber",RM Auctions,1 260 000 €,REST,V,,,11946,
,,,,,,,,,,11546,
ALFA ROMEO,29/04/2017,Toffen,33 1.4 IE 16 V Imola,Oldtimer Galerie Toffen,1 530 €,OR,V,,,11546,
ALFA ROMEO,08/02/2014,Paris,33 1.3 S berline,Artcurial Motorcars,2 980 €,OR+,V,,,11546,
ALFA ROMEO,08/02/2013,Paris,Monoplace formule Boxer,Artcurial Motorcars,15 488 €,OR,V,,,11546,
ALFA ROMEO,01/12/2012,Toffen,33 1.5 SL berline,Oldtimer Galerie,2 787 €,OR+,V,,,11546,
ALFA ROMEO,19/09/2009,Kaufdorf,33 1.5 berline,Oldtimer Galerie Toffen,2 310 €,OR+,V,,,11546,
,,,,,,,,,,11360,
ALFA ROMEO,08/02/2014,Paris,Arna 1.2 5 portes,Artcurial Motorcars,4 768 €,OR+,V,,,11360,
,,,,,,,,,,8537,
ALFA ROMEO,13/12/2009,Fontainebleau,Alfasud Sprint QV Grand Prix,Jean-Pierre Osenat,3 800 €,REST,V,,,8537,
,,,,,,,,,,8536,
ALFA ROMEO,24/11/2017,Esvres-sur-Indre,Alfasud Sprint 1.5 Grand Prix,Alcopa,3 850 €,OR,V,,,8536,
ALFA ROMEO,08/05/2017,La Mézière,Alfasud Sprint 1.5 Quadrifoglio Verde,Alcopa Auction Rennes,6 670 €,OR+,V,,,8536,
,,,,,,,,,,8535,
ALFA ROMEO,13/07/2019,Brooklands,Alfasud Sprint Veloce 1.5 RHD,Historics at Brooklands,10 230 €,OR+,V,,,8535,
ALFA ROMEO,24/11/2017,Esvres-sur-Indre,Alfasud Sprint Veloce 1.5,Alcopa,5 320 €,OR,V,,,8535,
ALFA ROMEO,27/02/2015,Berlin,"Alfasud Sprint Veloce 1.5 Trofeo, 240 km origine",Auctionata,27 240 €,OR+/EX,V,,,8535,
ALFA ROMEO,19/07/2009,Uzerche,Alfasud Sprint Veloce 1.5 coupé,Me Arnaud-Lacroze / M. Saint-Gal,30 €,SEP,V,,,8535,
,,,,,,,,,,8534,
ALFA ROMEO,11/09/2017,La Mézière,Alfasud Sprint 1.3 coupé,Alcopa Auction,4 180 €,OR,V,,,8534,
ALFA ROMEO,08/03/2017,Fléville devant Nancy,Sprint 1.3 coupé,Alcopa Auction Nancy,5 990 €,OR+,V,,,8534,
ALFA ROMEO,28/06/2015,Aytré,Alfasud Sprint 1.3,SCP MCS / M. Saint-Gal,2 478 €,OR,V,,,8534,
ALFA ROMEO,26/09/2010,Montastruc,Alfasud Sprint 1.3 coupé,FEE Machoïr,1 200 €,OR,V,,,8534,
,,,,,,,,,,9011,
ALFA ROMEO,08/02/2014,Paris,Alfasud 1.2 Super 4 portes,Artcurial Motorcars,3 576 €,OR+,V,,,9011,
,,,,,,,,,,167,
ALFA ROMEO,12/05/2012,Monaco,33/3-23 barquette Autodelta RHD,RM Auctions,1 232 000 €,EX,V,,,167,
