auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,auction_url,model,quote_id,year
RENAULT,06/04/2019,St. Germain de Livet,R 4 Export,Lisieux Enchères (Me. Brunet) / M. Pavot,2 340 €,OR,V,,,11354,
RENAULT,23/03/2019,Fontainebleau,R 4 TL ,Jean-Pierre Osenat,4 080 €,OR+,V,,,11354,
RENAULT,22/09/2018,Toulouse,R 4 Export,Stanislas Machoïr,600 €,OR-,V,,,11354,
RENAULT,23/07/2017,Uzerche,R 4 Export,Brivenchères (Charles Gillardeau),730 €,OR-,V,,,11354,
RENAULT,17/05/2017,Pau,R 4 TL Savane,HdV Pau-Pyrénées (Gestas-Carrère),4 000 €,REST-,V,,,11354,
RENAULT,17/05/2017,Pau,R 4 TL Savane,HdV Pau-Pyrénées (Gestas-Carrère),5 660 €,REST-,V,,,11354,
RENAULT,08/04/2017,Jouy sur Morin,R 4 Savane préparée 4L Trophy,HdV Coulommiers (Valérie Bouvier),1 720 €,REST,V,,,11354,
RENAULT,13/11/2016,Saint-Omer,R 4 berline 4 glaces,HdV Saint-Omer (Me Fourquet),3 120 €,OR,V,,,11354,
RENAULT,05/07/2016,Reims,R 4 Export (R 1126),MVE Châtivesle / M. Bonoron,915 €,OR-,V,,,11354,
RENAULT,26/03/2016,Vannes,R 4 TL berline,SVV Ruellan,2 232 €,OR-,V,,,11354,
RENAULT,07/04/2013,Chaumont sur Yonne,R 4 TL Savane,Joigny Enchères,2 400 €,OR+,V,,,11354,
RENAULT,13/05/2012,Montastruc,R 4 TL berline,FEE Machoïr,5 400 €,REST+,V,,,11354,
RENAULT,17/12/2011,NogeNt le Rotrou,R 4 TL Savane,SVV Ecklé,550 €,SEP,V,,,11354,
RENAULT,16/04/2010,Saint-LoubèS,R 4 TL limousine,SCP Cambron-Pesin-Dupont-Lagrifo,250 €,SEP,V,,,11354,
RENAULT,08/06/2008,Tours,R 4 (base),M. Herbelin / M. Jabot / M. Souc,800 €,OR,V,,,11354,
,,,,,,,,,,9412,
RENAULT,07/04/2019,Le Mans,R 6 TL limousine (1108 cm3),Marie Line Balsan / Dominique Pagneux,90 €,SEP,V,,,9412,
RENAULT,17/05/2017,Pau,R 6 TL ,HdV Pau-Pyrénées (Gestas-Carrère),4 000 €,OR+,V,,,9412,
RENAULT,06/05/2017,L'Aigle,R 6 TL (restylée),Orne Enchères / M. Pagneux,660 €,SEP,V,,,9412,
RENAULT,09/04/2007,Saint James,R 6 TL limousine (CG coll.),Toutain-Vente / M. Vaudouër,120 €,OR-,V,,,9412,
,,,,,,,,,,11416,
RENAULT,17/05/2017,Pau,"R 14 GTL, immat. Espagne",HdV Pau-Pyrénées (Gestas-Carrère),2 520 €,OR+,V,,,11416,
RENAULT,03/07/2010,Caen,R 14 TL berline,Brioult Enchères / M. Pagneux,300 €,OR-,V,,,11416,
,,,,,,,,,,8088,
RENAULT,25/06/2017,Vichy,R 16 TS,SCP Oriot-Couleau,4 130 €,OR+,V,,,8088,
,,,,,,,,,,8546,
RENAULT,07/02/2019,Paris,R 5 Alpine,Bonhams,18 980 €,REST+,V,,,8546,
RENAULT,26/03/2017,Avignon,R 5 Alpine,Leclère MDV,11 400 €,OR,V,,,8546,
RENAULT,10/04/2016,Paris,R 5 Alpine Copa (FASA),Leclère MDV,20 000 €,REST,V,,,8546,
RENAULT,19/10/2014,Aytré,R 5 Alpine,"SCP Miller-Franiatte, Coudert, Sicard / M. Saint-G",5 750 €,OR+,V,,,8546,
RENAULT,08/04/2007,Le Plessis Bouchard,R 5 Alpine,"SCP Riquier, Salvi, Gras",4 500 €,REST,V,,,8546,
,,,,,,,,,,12461,
RENAULT,25/03/2018,Avignon,Clio II RS 2.0 16V édition limitée,Leclère,8 160 €,OR+,V,,,12461,
,,,,,,,,,,11538,
RENAULT,07/06/2017,Fléville devant Nancy,"R 19 16 S Cabriolet, int. cuir",Alcopa Auction Nancy,2 820 €,OR+,V,,,11538,
RENAULT,28/03/2016,Saint-James,R 19 Cabriolet,Toutain-Vente / M. Vaudouër,1 856 €,OR,V,,,11538,
,,,,,,,,,,11644,
RENAULT,08/05/2017,La Mézière,Avantime Privilège 2.2 DCi,Alcopa Auction Rennes,3 410 €,OR,V,,,11644,
RENAULT,06/02/2017,La Mézière,"Avantime Privilège 2.2 DCi, toit ouvrant",Alcopa Auction Rennes,4 410 €,OR+,V,,,11644,
,,,,,,,,,,11545,
RENAULT,07/07/2018,Brooklands,Spider Sport RHD (avec pare-brise),Historics at Brooklands,26 590 €,OR+,V,,,11545,
RENAULT,01/05/2018,Strasbourg,"Monoplace F3 constr. sur mesure, moteur R 16",Osenat,4 800 €,OR,V,,,11545,
RENAULT,29/03/2017,Duxford,Spider Sport RHD,H & H Classic Auctions,30 250 €,OR+,V,,,11545,
RENAULT,02/07/2016,Lyon,"Spider Sport avec pare-brise, 3 400 km origine",Claude Aguttes,42 000 €,OR+,V,,,11545,
RENAULT,23/05/2015,Silverstone,Spider Sport,Silverstone Auctions,29 750 €,OR+,V,,,11545,
RENAULT,10/10/2007,Duxford,Spider Sport RHD (avec pare-brise),H & H Classic Auctions,16 500 €,OR+,V,,,11545,
RENAULT,27/05/2007,Brands Hatch,Spider Sport RHD (avec pare-brise),Coys Auctions,18 750 €,OR+,V,,,11545,
,,,,,,,,,,11544,
RENAULT,04/11/2018,Paris,Spider Sport (avec saute-vent),Artcurial Motorcars,38 140 €,OR+,V,,,11544,
RENAULT,30/10/2011,Paris,"Spider Sport, 2 700 km origine",Artcurial Motorcars,25 000 €,OR+/EX,V,,,11544,
RENAULT,21/07/2007,Royan,Spider Sport (avec saute-vent),SCP Geoffroy & Béquet,23 400 €,OR+,V,,,11544,
,,,,,,,,,,9436,
RENAULT,27/10/2007,Fléville devant Nancy,Alliance 1.7 DL cabriolet,Est Auction,3 000 €,REST,V,,,9436,
,,,,,,,,,,11645,
RENAULT,13/07/2019,Brooklands,Avantime 3.0 V6 24 V Privilege Exception 2 RHD,Historics at Brooklands,13 110 €,OR+,V,,,11645,
RENAULT,02/03/2019,Ascott,Avantime 3.0 V6 24 V Privilege RHD,Historics at Brooklands,11 710 €,OR+,V,,,11645,
RENAULT,22/09/2018,Brooklands,Avantime 3.0 V6 24 V RHD,Historics at Brooklands,7 160 €,OR+,V,,,11645,
RENAULT,17/06/2017,Brunelles,Avantime 3.0 V6 24 V autom.,Orne Enchères / M. Pagneux,8 000 €,OR+,V,,,11645,
RENAULT,31/05/2017,Ascot,Avantime 3.0 V6 24 V Privilège,Historics at Brooklands,2 600 €,OR+,V,,,11645,
RENAULT,31/05/2017,Ascot,Avantime 3.0 V6-24 Privilège,Historics at Brooklands,7 160 €,OR+,V,,,11645,
RENAULT,08/04/2017,Jouy sur Morin,Avantime 3.0 V6 24 V équipé GPL,HdV Coulommiers (Valérie Bouvier),12 130 €,OR+,V,,,11645,
RENAULT,07/10/2012,Cerizay,Avantime 3.0 V6-24 autom.,Jack-Philippe Ruellan / D. Pagneux,8 427 €,OR+,V,,,11645,
,,,,,,,,,,11971,
RENAULT,16/10/2016,L'Aigle,Espace III 2.2 Dci,Orne Enchères / M. Pagneux,1 020 €,OR,V,,,11971,
RENAULT,23/04/2016,Toffen,Avantime,Oldtimer Galerie Toffen,2 548 €,OR,V,,,11971,
RENAULT,20/06/2015,Vannes,Mégane 2 coupé-cabriolet,SVV Ruellan,4 712 €,OR+,V,,,11971,
RENAULT,06/06/2015,Brooklands,Avantime V6 Privilège RHD,Historics at Brooklands,4 157 €,OR+,V,,,11971,
RENAULT,10/05/2014,Monaco,RE 30 B formule 1,RM Auctions,229 600 €,OR+,V,,,11971,
,,,,,,,,,,11874,
RENAULT,07/10/2012,Cerizay,Espace Initiale Confort 3.5 V6 autom. (sans CG),Jack-Philippe Ruellan / D. Pagneux,2 478 €,EX,V,,,11874,
RENAULT,07/10/2012,Cerizay,Espace II Teksi Malaisie 2.0 autom. (sans plaques),Jack-Philippe Ruellan / D. Pagneux,248 €,OR-/INC,V,,,11874,
RENAULT,07/07/2012,Le Mans,Espace 2000 i RHD Teksi Heuliez,Artcurial,3 480 €,OR,V,,,11874,
,,,,,,,,,,11873,
RENAULT,16/10/2016,L'Aigle,"Espace 2000-1 Injection 7 places, toits ouvrants",Orne Enchères / M. Pagneux,960 €,OR,V,,,11873,
,,,,,,,,,,11643,
RENAULT,30/09/2018,Linas,Safrane Biturbo Baccara,Aguttes,9 440 €,OR+,V,,,11643,
RENAULT,25/03/2018,Avignon,Safrane Biturbo,Leclère,7 800 €,OR+,V,,,11643,
RENAULT,07/07/2012,Le Mans,Safrane V6 Turbo Long Cours Heuliez,Artcurial,22 636 €,OR,V,,,11643,
RENAULT,28/11/2009,Toffen,Safrane Biturbo Baccara,Oldtimer Galerie Toffen,1 370 €,OR,V,,,11643,
,,,,,,,,,,11540,
RENAULT,28/03/2016,Saint-James,R 25 GTX,Toutain-Vente / M. Vaudouër,1 276 €,OR+,V,,,11540,
RENAULT,07/07/2012,Le Mans,R 25 V6 Turbo limousine Heuliez ,Artcurial,16 679 €,REST+,V,,,11540,
,,,,,,,,,,11539,
RENAULT,19/03/2016,Auvers sur Oise,"R 25 GTD berline, 2 000 km origine",William Le Calvez,9 048 €,EX,V,,,11539,
RENAULT,05/04/2010,Saint-JameS,R 25 V6 injection autom. toit ouvrant,Toutain-Vente,1 500 €,OR+,V,,,11539,
RENAULT,05/12/2009,NogeNt-le-Rotrou,R 25 GTX berline,SVV Ecklé / M. Pagneux,200 €,OR-,V,,,11539,
RENAULT,25/06/2006,Nogent le Rotrou,R 25 V6 injection berline,SVV Ecklé / M. Pagneux,400 €,OR,V,,,11539,
,,,,,,,,,,12394,
RENAULT,17/04/2017,Saint-James,R 25 GTD berline,Toutain-Vente / M. Vaudouër,590 €,RET,V,,,12394,
,,,,,,,,,,9431,
RENAULT,07/07/2012,Le Mans,Fuego 2 l Turbo cabriolet Heuliez ,Artcurial,10 722 €,OR,V,,,9431,
,,,,,,,,,,9427,
RENAULT,26/06/2016,Caen,Fuego GTX 2 litres,Côte Enchères Atlantique / M. Pagneux,1 982 €,OR,V,,,9427,
,,,,,,,,,,9426,
RENAULT,17/05/2017,Pau,Fuego GTS,HdV Pau-Pyrénées (Gestas-Carrère),3 070 €,OR+,V,,,9426,
RENAULT,17/05/2017,Pau,Fuego GTS,HdV Pau-Pyrénées (Gestas-Carrère),3 260 €,OR+,V,,,9426,
RENAULT,04/09/2010,Richelieu,Fuego GTS coupé,Brioult Enchères / M. Pagneux,850 €,OR,V,,,9426,
,,,,,,,,,,9425,
RENAULT,07/04/2019,Le Mans,Fuego GTL coupé,Marie Line Balsan / Dominique Pagneux,50 €,SEP,V,,,9425,
RENAULT,07/04/2019,Le Mans,Fuego TL coupé,Marie Line Balsan / Dominique Pagneux,50 €,SEP,V,,,9425,
RENAULT,07/04/2019,Le Mans,Fuego GTL coupé,Marie Line Balsan / Dominique Pagneux,70 €,EP,V,,,9425,
RENAULT,09/04/2007,Saint James,"Fuego TL coupé, sellerie cuir",Toutain-Vente / M. Vaudouër,420 €,RET,V,,,9425,
RENAULT,17/04/2006,Saint James,"Fuego GTL coupé, équipement GTX",SVV Toutain-Vente / M. Vaudouër,800 €,RET,V,,,9425,
,,,,,,,,,,12251,
RENAULT,08/04/2018,Paris,Mégane RS R 26 R (n° 49/126),Artcurial Motorcars,38 140 €,OR+,V,,,12251,
RENAULT,07/06/2017,Fléville devant Nancy,Mégane Cabriolet 1.6 16 V,Alcopa Auction Nancy,1 690 €,OR+,V,,,12251,
RENAULT,30/10/2016,Paris,"Twingo Easy finition Lecoq, toit souple, sellerie cuir",Artcurial Motorcars,6 556 €,OR+/EX,V,,,12251,
,,,,,,,,,,11537,
RENAULT,05/12/2009,NogeNt-le-Rotrou,"R 19 16 S 3 portes toit ouvrant, jantes alu",SVV Ecklé / M. Pagneux,1 400 €,OR+,V,,,11537,
RENAULT,05/12/2009,NogeNt-le-Rotrou,R 19 16 S 5 portes,SVV Ecklé / M. Pagneux,900 €,OR,V,,,11537,
,,,,,,,,,,11929,
RENAULT,07/06/2017,Fléville devant Nancy,R 11 Turbo Phase II 5 portes,Alcopa Auction Nancy,3 980 €,OR,V,,,11929,
RENAULT,08/05/2017,La Mézière,R 11 Turbo Phase II 3 portes,Alcopa Auction Rennes,6 240 €,OR+,V,,,11929,
,,,,,,,,,,11930,
RENAULT,07/10/2012,Cerizay,R 11 prototype cabriolet Heuliez (sans mécanique),Jack-Philippe Ruellan / D. Pagneux,434 €,EP/INC,V,,,11930,
,,,,,,,,,,11418,
RENAULT,20/01/2019,Tarbes,R 9 GTL berline,SVV Henri Adam / M. Bonoron,300 €,SEP,V,,,11418,
,,,,,,,,,,11498,
RENAULT,07/06/2017,Fléville devant Nancy,R 21 Turbo berline,Alcopa Auction Nancy,4 430 €,OR,V,,,11498,
RENAULT,08/05/2017,La Mézière,R 21 Turbo berline,Alcopa Auction Rennes,4 090 €,OR,V,,,11498,
RENAULT,30/06/2012,Caen,R 21 2 L Turbo prép. Gr. N ex-Gendarmerie,Caen Enchères / M. Pagneux,6 747 €,OR,V,,,11498,
,,,,,,,,,,11421,
RENAULT,05/12/2009,NogeNt-le-Rotrou,R 18 GTX Break 2 litres,SVV Ecklé / M. Pagneux,300 €,OR,V,,,11421,
,,,,,,,,,,9428,
RENAULT,15/09/2007,Toffen,R 18 GTX 2 litres Automatic berline,Oldtimer Galerie Toffen,590 €,OR+,V,,,9428,
,,,,,,,,,,12250,
RENAULT,10/11/2018,Birmingham,Clio V6 RHD,Silverstone Auction,27 680 €,OR+,V,,,12250,
RENAULT,14/04/2018,Lyon,Clio V6,Aguttes,37 870 €,OR+,V,,,12250,
RENAULT,08/02/2018,Paris,Clio V6,Bonhams,40 250 €,OR+,V,,,12250,
RENAULT,29/06/2017,Saint-Priest,Clio Sport 2.0 RS,Alcopa Auction Lyon,7 230 €,OR+,V,,,12250,
RENAULT,08/05/2017,La Mézière,Clio Sport V6,Alcopa Auction Rennes,32 790 €,OR,V,,,12250,
RENAULT,10/02/2017,Paris,Clio V6 Phase 1,Artcurial Motorcars,61 980 €,OR+,V,,,12250,
RENAULT,05/11/2016,Lyon,Clio V6 (Phase I),Claude Aguttes,32 400 €,OR+,V,,,12250,
RENAULT,02/07/2016,Lyon,Clio V6 (Phase 1),Claude Aguttes,42 000 €,OR+,V,,,12250,
RENAULT,12/03/2016,Lyon,Clio V6 Phase 2,Claude Aguttes,45 600 €,OR+,V,,,12250,
,,,,,,,,,,11543,
