auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,auction_url,model,quote_id,year
MG,21/02/2006,Cheltenham,R V8 cabriolet RHD ex-Japon,H & H Classic Auctions,14 630 €,OR+,V,,,9004,
MG,21/03/2009,Avignon,R V8 cabriolet RHD,Besch Cannes Auction,22 000 €,OR+,V,,,9004,
,,,,,,,,,,4421,
MG,01/05/2019,ONLINE,MGC GT coupé 6-cyl. RHD,H and H,17 040 €,REST,V,,,4421,
MG,10/04/2019,Buxton,MGC GT coupé 6 cylindres RHD,H and H,28 730 €,REST,V,,,4421,
MG,28/09/2018,Southam,MGC GT coupé RHD,Silverstone Auctions,22 960 €,REST,V,,,4421,
MG,19/05/2018,Brooklands,MGC GT coupé RHD,Historics at Brooklands,12 210 €,OR,V,,,4421,
MG,14/05/2016,Monaco,MGC coupé GTS Sebring RHD,RM Sotheby's,140 000 €,REST,V,,,4421,
MG,15/01/2015,Scottsdale,MGC GT coupé 6-cyl. LHD,Bonhams,17 850 €,REST,V,,,4421,
MG,29/03/2014,Lyon (Brotteaux),"MGC GT coupé LHD, roues fil, toit Webasto",Claude Aguttes SAS,15 600 €,OR+,V,,,4421,
MG,08/03/2014,Brooklands,MGC GT coupé 6-cyl,Historics at Brooklands,19 921 €,REST,V,,,4421,
MG,29/04/2013,Londres,"MGC GT coupé RHD, roues disque",Bonhams,8 165 €,OR,V,,,4421,
MG,08/12/2010,Buxton,"MGC GT coupé ex-USA, conv. RHD",H & H Classic Auctions,10 320 €,REST/TR,V,,,4421,
MG,06/03/2010,Kidlington,"MGC GT coupé RHD, roues fil",Bonhams,14 030 €,REST+,V,,,4421,
MG,12/03/2009,Londres,MGC GT coupé RHD,Coys,7 150 €,REST,V,,,4421,
MG,21/11/2007,Buxton,"MGC GT coupé RHD, roues fil",H & H Classic Auctions,20 250 €,OR+,V,,,4421,
MG,11/07/2007,Leominster,"MGC GT coupé RHD, roues fil",Brightwells,7 650 €,REST,V,,,4421,
MG,11/06/2006,Sandown Park,MGC GT coupé RHD,Barons,5 400 €,REST,V,,,4421,
