auction_url,quote_id,quote_max_price,quote_model,quote_year
cote.encheres.php?idCote=9052,9052,18 000 €,320 i (E 21) coach 4 cylindres,1975
cote.encheres.php?idCote=9053,9053,13 000 €,320/6 (E 21) coach 6 cylindres,1978
cote.encheres.php?idCote=12484,12484,18 000 €,320/6 (E 21) Cabriolet Baur,1978
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=9054,9054,22 000 €,323 i (E 21) coach,1978
cote.encheres.php?idCote=9055,9055,24 000 €,323 i (E 21) Cabriolet Baur,1978
cote.encheres.php?idCote=12138,12138,32 000 €,Alpina C 1 2.3 (E 21),1980
cote.encheres.php?idCote=11883,11883,8 000 €,316 / 316 i (E 30) coach / berline,1983
cote.encheres.php?idCote=11884,11884,9 000 €,318 i (E 30) coach / berline,1983
,,13 000 €,318 i Cabriolet,1985
,,14 000 €,318 i S (E 30) coach,1989
cote.encheres.php?idCote=11886,11886,11 000 €,320 i (E 30) coach / berline,1982
,,23 000 €,320 i S (E 30) 2 ou 4 portes,1987
cote.encheres.php?idCote=12333,12333,15 000 €,320 i (E30) Cabriolet,1985
,,13 000 €,323 i (E 30) coach,1983
cote.encheres.php?idCote=9056,9056,14 000 €,323 i TC (E 30) Cabriolet Baur,1983
cote.encheres.php?idCote=10970,10970,13 000 €,325 i (E 30) coach / berline,1985
,,16 000 €,325 i Touring break,1987
cote.encheres.php?idCote=11887,11887,18 500 €,325 i (E 30) Cabriolet,1985
cote.encheres.php?idCote=10971,10971,19 000 €,325 i S coach / berline,1988
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=10972,10972,16 000 €,325 i X coach / berline (4 x 4),1986
,,16 000 €,325 i X Touring break (4 x 4),1987
cote.encheres.php?idCote=9057,9057,60 000 €,M 3 (E 30) coach 195/200 ch,1986
cote.encheres.php?idCote=9058,9058,65 000 €,M 3 (E 30) Evolution 215/220 ch,1989
cote.encheres.php?idCote=11762,11762,125 000 €,M 3 (E 30) Sport Evolution 238 ch,1990
cote.encheres.php?idCote=10968,10968,70 000 €,M 3 (E 30) Cabriolet,1989
,,19 000 €,Alpina C 2 2.7 (E 30) coach,1986
cote.encheres.php?idCote=12137,12137,32 000 €,Alpina B 6 2.8 (E 30),1984
,,39 000 €,Alpina B 6 3.5 (E 30),1985
cote.encheres.php?idCote=12447,12447,3 500 €,318 i S (E 36) Coupé,1992
,,6 500 €,328 i (E 36) 2 ou 4 portes,1990
