auction_url,quote_id,quote_max_price,quote_model,quote_year
cote.encheres.php?idCote=7537,7537,85 000 €,308 GTSi découvrable,1980
cote.encheres.php?idCote=8325,8325,85 000 €,308 GTB Quattrovalvole,1982
cote.encheres.php?idCote=8326,8326,90 000 €,308 GTS Quattrovalvole découvrable,1982
cote.encheres.php?idCote=8330,8330,100 000 €,328 GTB berlinette,1985
cote.encheres.php?idCote=8331,8331,110 000 €,328 GTS découvrable,1985
cote.encheres.php?idCote=2350,2350,2 200 000 €,288 GTO berlinette,1984
cote.encheres.php?idCote=11303,11303,55 000 €,348 tb berlinette,1989
cote.encheres.php?idCote=11304,11304,70 000 €,348 ts découvrable,1989
cote.encheres.php?idCote=12355,12355,80 000 €,348 Spider,1993
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=12018,12018,75 000 €,F 355 Berlinetta,1994
cote.encheres.php?idCote=12356,12356,160 000 €,F 355 Challenge,1995
cote.encheres.php?idCote=12430,12430,78 000 €,F 355 GTS découvrable,1994
cote.encheres.php?idCote=12019,12019,85 000 €,F 355 Spider,1995
cote.encheres.php?idCote=12357,12357,80 000 €,360 Modena berlinette,1999
cote.encheres.php?idCote=12358,12358,200 000 €,360 Challenge Stradale,2003
cote.encheres.php?idCote=12359,12359,90 000 €,360 Spider,1999
cote.encheres.php?idCote=8324,8324,30 000 €,Mondial 8 coupé 2+2,1980
cote.encheres.php?idCote=8327,8327,33 000 €,Mondial Quattrovalvole coupé 2+2,1982
cote.encheres.php?idCote=8328,8328,38 000 €,Mondial Quattrovalvole cabriolet,1984
cote.encheres.php?idCote=8332,8332,35 000 €,Mondial 3.2 coupé 2+2,1985
cote.encheres.php?idCote=8333,8333,45 000 €,Mondial 3.2 cabriolet,1985
cote.encheres.php?idCote=8506,8506,48 000 €,Mondial t coupé 2+2,1989
cote.encheres.php?idCote=8507,8507,52 000 €,Mondial t cabriolet,1989
cote.encheres.php?idCote=12011,12011,140 000 €,Testarossa berlinette (monospecchio),1984
cote.encheres.php?idCote=8329,8329,120 000 €,Testarossa berlinette,1987
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=8349,8349,140 000 €,512 tr berlinette,1992
cote.encheres.php?idCote=12020,12020,240 000 €,512 M berlinette,1994
cote.encheres.php?idCote=8334,8334,1 300 000 €,F 40 berlinette (client),1988
cote.encheres.php?idCote=11552,11552,1 400 000 €,F 50 Spider,1995
cote.encheres.php?idCote=12016,12016,-------,Enzo (F 60) berlinette,2002
cote.encheres.php?idCote=11945,11945,75 000 €,456 GT coupé 2+2,1993
cote.encheres.php?idCote=12360,12360,85 000 €,456 M GT coupé 2+2,1999
cote.encheres.php?idCote=11912,11912,95 000 €,550 Maranello berlinette,1998
cote.encheres.php?idCote=12013,12013,380 000 €,550 Barchetta,2000
cote.encheres.php?idCote=12014,12014,140 000 €,575 M Maranello berlinette,2001
cote.encheres.php?idCote=12015,12015,320 000 €,575 Superamerica découvrable,2003
cote.encheres.php?idCote=12017,12017,120 000 €,612 Scaglietti berlinette,2004
