auction_url,quote_id,quote_max_price,quote_model,quote_year
cote.encheres.php?idCote=5722,5722,95 000 €,911 T 2.2 Targa,1970
cote.encheres.php?idCote=5723,5723,110 000 €,911 E 2.2 coupé,1970
cote.encheres.php?idCote=5724,5724,110 000 €,911 E 2.2 Targa,1970
cote.encheres.php?idCote=5725,5725,180 000 €,911 S 2.2 coupé,1970
cote.encheres.php?idCote=5726,5726,180 000 €,911 S 2.2 Targa,1970
cote.encheres.php?idCote=5727,5727,110 000 €,911 T 2.4 coupé,1972
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=8026,8026,110 000 €,911 T 2.4 Targa,1972
cote.encheres.php?idCote=5728,5728,120 000 €,911 E 2.4 coupé,1972
cote.encheres.php?idCote=8027,8027,120 000 €,911 E 2.4 Targa,1972
cote.encheres.php?idCote=5729,5729,190 000 €,911 S 2.4 coupé,1972
cote.encheres.php?idCote=8028,8028,190 000 €,911 S 2.4 Targa,1972
cote.encheres.php?idCote=5730,5730,650 000 €,911 Carrera RS 2.7 Touring,1973
cote.encheres.php?idCote=9555,9555,950 000 €,911 Carrera RS 2.7 Lightweight,1973
cote.encheres.php?idCote=5731,5731,750 000 €,911 Carrera RS 3.0 coupé,1974
cote.encheres.php?idCote=5732,5732,50 000 €,911 2.7 coupé,1974
cote.encheres.php?idCote=5733,5733,50 000 €,911 2.7 Targa,1974
cote.encheres.php?idCote=5734,5734,70 000 €,911 S 2.7 coupé,1974
cote.encheres.php?idCote=8029,8029,70 000 €,911 S 2.7 Targa,1974
cote.encheres.php?idCote=5735,5735,210 000 €,911 Carrera 2.7 coupé (MFI),1974
cote.encheres.php?idCote=8030,8030,220 000 €,911 Carrera 2.7 Targa (MFI),1974
cote.encheres.php?idCote=5736,5736,85 000 €,911 Carrera 3.0 coupé,1976
cote.encheres.php?idCote=8031,8031,85 000 €,911 Carrera 3.0 Targa,1976
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=5737,5737,45 000 €,911 SC 3.0 coupé (188 ch),1978
cote.encheres.php?idCote=5738,5738,45 000 €,911 SC 3.0 Targa (188 ch),1978
cote.encheres.php?idCote=9553,9553,48 000 €,911 SC 3.0 (204 ch) coupé,1981
