auction_url,quote_id,quote_max_price,quote_model,quote_year
cote.encheres.php?idCote=5799,5799,6 000 €,Celtaquatre 8 CV (ADC) berline avec malle,1937
cote.encheres.php?idCote=8051,8051,9 500 €,Celtaquatre 8 CV (ADC) coupé,1936
cote.encheres.php?idCote=5800,5800,16 500 €,Celtaquatre 8 CV (ADC) cabriolet-spider,1936
,,16 500 €,Celtaquatre 8 CV (ADC) coach décapotable,1936
,,6 000 €,Celtaquatre 8 CV (BCR) commerciale,1937
cote.encheres.php?idCote=9404,9404,5 500 €,ADZ / ADV fourgonnette (marchande),1936
,,30 000 €,15 CV 6 cyl. types PG / PK / RA limousine,1927
,,29 000 €,Vivasix (PG) torpédo,1928
,,"(None,)","(None,)","(None,)"
,,22 500 €,Vivasix (PG) berline,1928
cote.encheres.php?idCote=5803,5803,18 500 €,Vivasix (PG) limousine,1930
cote.encheres.php?idCote=5804,5804,23 000 €,Vivastella (PG) berline,1929
cote.encheres.php?idCote=5805,5805,21 000 €,Vivastella (PG) limousine,1929
,,35 000 €,Vivastella (PG) cabriolet,1929
,,26 000 €,Vivastella (PG) coach,1931
,,17 500 €,Primastella (PG 6 / PG 8 / PG 10) berline,1932
,,22 000 €,Primastella (PG 6 / PG 8 / PG 10) coach,1932
cote.encheres.php?idCote=5808,5808,34 000 €,Primastella (PG 6 / PG 8 / PG 10) cabriolet,1932
cote.encheres.php?idCote=8055,8055,16 000 €,Vivastella 80 (ZA) berline aérod.,1934
,,17 500 €,Vivastella 80 (ZA) limousine,1934
,,18 500 €,Vivastella 85 (ACR) limousine,1935
,,11 500 €,Vivastella (ADB) limousine,1936
cote.encheres.php?idCote=8056,8056,14 500 €,Vivastella (ADB / BDZ) limousine avec malle,1937
cote.encheres.php?idCote=5812,5812,18 000 €,Vivasport (YZ / ACM) berline aérodynamique,1934
,,19 500 €,Vivasport (YZ / ACM) coach aérodynamique,1934
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=5814,5814,32 000 €,Vivasport (YZ / ACM) cabriolet-spider,1934
,,29 500 €,Vivasport (YZ / ACM) coach décapotable,1934
,,13 000 €,Vivasport (BCT / BCY) berline,1937
,,19 500 €,Viva Grand Sport (ACX) berline,1935
cote.encheres.php?idCote=5816,5816,75 000 €,Viva Grand Sport (ACX) cabriolet,1935
,,45 000 €,Viva Grand Sport coach décapotable,1935
,,19 000 €,Viva Grand Sport (ACX / BCX / BDV) berline,1937
cote.encheres.php?idCote=5817,5817,115 000 €,Viva Grand Sport (ACX / BCX / BDV) cabriolet,1937
,,115 000 €,Viva Grand Sport coach décapotable,1937
,,9 000 €,Primaquatre (KZ 6) torpédo commercial,1931
cote.encheres.php?idCote=5819,5819,7 500 €,Primaquatre (KZ 6) berline,1931
,,7 000 €,Primaquatre (KZ 6) berline commerciale,1931
