auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
TRIUMPH,08/11/2009,Lyon,TR 2 roadster,Besch Cannes Auction,24 000 €,REST,V,,6738,
TRIUMPH,12/03/2009,Londres,TR 2 roadster RHD,Coys,14 300 €,REST,V,,6738,
TRIUMPH,13/04/2008,Paris,"TR 2 roadster LHD, hard-top, roues fil","Artcurial Briest, Poulain, F. Ta",14 500 €,REST,V,,6738,
TRIUMPH,11/12/2007,Sandown Park,"TR 2 roadster RHD, roues fil",Barons Auctions,13 800 €,REST,V,,6738,
TRIUMPH,20/06/2007,Buxton,"TR 2 roadster RHD, roues fil",H & H Classic Auctions,21 750 €,REST+,V,,6738,
TRIUMPH,30/11/2006,Londres,"TR 2 roadster RHD, roues fil",Coys Auctions,15 300 €,REST,V,,6738,
TRIUMPH,10/05/2006,Leominster,TR 2 roadster RHD,Brightwells,6 600 €,RAR,V,,6738,
,,,,,,,,,6737,
TRIUMPH,10/11/2018,Birmingham,TR 2 roadster (portes longues) RHD,Silverstone Auction,21 250 €,REST,V,,6737,
TRIUMPH,31/05/2017,Ascot,TR 2 roadster LHD,Historics at Brooklands,26 040 €,REST,V,,6737,
TRIUMPH,20/04/2016,Duxford,TR 2 roadster (long doors),H & H Classic Auctions,47 407 €,REST,V,,6737,
TRIUMPH,21/03/2015,Lyon,TR 2 roadster LHD (portes longues),Claude Aguttes,33 600 €,REST,V,,6737,
TRIUMPH,31/01/2011,Sainte-Geneviève,"TR 2 roadster ""portes longues"" ex-USA",Australe,14 600 €,REST-,V,,6737,
,,,,,,,,,6736,
TRIUMPH,25/04/2006,Sandown Park,Mayflower coach RHD,Barons,2 750 €,OR+,V,,6736,
,,,,,,,,,6735,
TRIUMPH,27/04/2019,Tupelo,2000 Roadster RHD,Bonhams,17 970 €,REST,V,,6735,
TRIUMPH,01/05/2018,Strasbourg,2000 Roadster,Osenat,28 800 €,RAR,V,,6735,
TRIUMPH,12/03/2015,Amelia Island,2000 Roadster,Bonhams,37 090 €,REST,V,,6735,
TRIUMPH,03/01/2014,Fort Lauderdale,2000 Roadster,Fort Lauderdale Dave Rupp,28 500 €,REST,V,,6735,
TRIUMPH,29/04/2013,Londres,2000 Roadster RHD,Bonhams,36 745 €,REST,V,,6735,
TRIUMPH,02/06/2010,Brooklands,2000 Roadster,Historics at Brooklands,10 910 €,REST,V,,6735,
TRIUMPH,20/03/2010,Sainte-Geneviève,2000 Roadster,Australe,6 800 €,OR-,V,,6735,
TRIUMPH,20/06/2009,Le Plessis-Bouchard,2000 Roadster,"SCP Riquier, Salvi, Gras",21 500 €,OR+,V,,6735,
TRIUMPH,03/05/2009,Toffen,2000 Roadster,Oldtimer Galerie Toffen,49 000 €,REST,V,,6735,
TRIUMPH,01/12/2007,Toffen,2000 Roadster,Oldtimer Galerie Toffen,28 280 €,REST,V,,6735,
TRIUMPH,21/11/2007,Buxton,2000 Roadster,H & H Classic Auctions,3 750 €,OR-,V,,6735,
,,,,,,,,,6734,
TRIUMPH,29/04/2017,Toffen,1800 Roadster,Oldtimer Galerie Toffen,20 390 €,REST,V,,6734,
TRIUMPH,21/03/2015,Lyon,1800 Roadster RHD,Claude Aguttes,24 000 €,RAR,V,,6734,
TRIUMPH,21/11/2007,Buxton,1800 Roadster,H & H Classic Auctions,15 000 €,REST,V,,6734,
TRIUMPH,06/10/2007,Genève,1800 Roadster (TRD 1310),The Sportscar Auction Co.,27 700 €,REST,V,,6734,
,,,,,,,,,8242,
TRIUMPH,28/05/2006,Gaydon,Renown limousine RHD,Bonhams,1 130 €,RAR,V,,8242,
,,,,,,,,,6733,
TRIUMPH,12/10/2014,Fontainebleau,Renown Saloon RHD,Jean-Pierre Osenat,11 920 €,REST,V,,6733,
TRIUMPH,13/10/2013,Fontainebleau,Renown Saloon RHD,Jean-Pierre Osenat,17 275 €,OR+,V,,6733,
,,,,,,,,,6732,
TRIUMPH,21/04/2008,Londres,1800 limousine RHD,Bonhams,1 890 €,OR,V,,6732,
,,,,,,,,,8240,
TRIUMPH,03/07/2009,Goodwood,Dolomite 16 roadster 6 cylindres,Bonhams,26 950 €,REST,V,,8240,
,,,,,,,,,6742,
TRIUMPH,26/05/2019,Les Essarts,"TR 4 cabriolet, roues disque",HdV de la Seine (Me Chéroyan) / M. Séné,11 900 €,RAR,V,,6742,
TRIUMPH,15/05/2019,Leominster,TR 4 (CT) cabriolet 2138 cm3 RHD Surrey top,Brightwells,17 650 €,REST,V,,6742,
TRIUMPH,20/03/2019,Duxford,TR 4 (CT) cabriolet 2138 cm3 RHD,H and H,26 630 €,REST,V,,6742,
TRIUMPH,02/03/2019,Ascott,TR 4 (CT) cabriolet 2138 cm3 RHD,Historics at Brooklands,22 450 €,REST,V,,6742,
TRIUMPH,18/06/2017,Fontainebleau,"TR 4 cabriolet LHD, roues fil",Jean-Pierre Osenat,28 800 €,REST,V,,6742,
TRIUMPH,31/05/2017,Ascot,TR 4 (CT) cabriolet,Historics at Brooklands,15 300 €,OR-,V,,6742,
TRIUMPH,08/03/2017,Fléville devant Nancy,"TR 4 cabriolet ex-USA, roues disque",Alcopa Auction Nancy,26 140 €,REST,V,,6742,
TRIUMPH,25/11/2016,Milan,"TR 4 cabriolet ex-USA, jantes larges",RM Sotheby's,20 160 €,OR-,V,,6742,
TRIUMPH,05/09/2015,Beaulieu,TR 4 cabriolet + hardtop préparée rallye,Bonhams,25 980 €,REST/TR,V,,6742,
TRIUMPH,16/11/2014,Montastruc la Conseillère,TR 4 cabriolet 2138 cm3,Stanislas Machoïr,26 400 €,OR+,V,,6742,
TRIUMPH,18/05/2014,Spa,TR 4 cabriolet LHD,Bonhams,16 100 €,REST,V,,6742,
TRIUMPH,08/05/2014,Monaco,TR 4 cabriolet,Pierre Bergé & Associés,31 250 €,REST+,V,,6742,
TRIUMPH,01/02/2013,Saint-Etienne,TR 4 roadster LHD,SCP Carlier-Imbert,8 005 €,OR-,V,,6742,
TRIUMPH,01/02/2013,Saint-Etienne,TR 4 roadster LHD,SCP Carlier-Imbert,8 005 €,OR,V,,6742,
TRIUMPH,17/11/2012,Birmingham,TR 4 cabriolet,Silverstone Auctions,32 820 €,REST,V,,6742,
TRIUMPH,14/11/2012,Harrogate,TR 4 roadster RHD Surrey Top,Bonhams,10 015 €,REST,V,,6742,
,,,,,,,,,8243,
TRIUMPH,24/06/2017,Santa Monica,TR 3 B (TCF) roadster 2138 cm3,RM Sotheby's,21 620 €,REST,V,,8243,
TRIUMPH,21/02/2006,Cheltenham,TR 3 B (TCF) roadster conversion RHD,H & H Classic Auctions,18 750 €,REST/TR,V,,8243,
,,,,,,,,,6741,
TRIUMPH,02/09/2018,Auburn,TR 3 B (TSF) roadster,RM Sotheby's,26 050 €,REST,V,,6741,
TRIUMPH,06/06/2015,Brooklands,TR 3 B roadster 2 litres,Historics at Brooklands,35 412 €,REST,V,,6741,
TRIUMPH,07/07/2012,Le Mans,"TR 3 B (TSF) roadster LHD, roues disque",Artcurial,33 358 €,REST,V,,6741,
,,,,,,,,,8249,
TRIUMPH,05/02/2016,Paris,"Italia coupé Vignale, base TR 3 B",Artcurial Motorcars,89 400 €,REST+,V,,8249,
,,,,,,,,,8245,
TRIUMPH,23/07/2008,Buxton,Herald 12/50 coach toit ouvrant RHD,H & H,3 120 €,OR+,V,,8245,
,,,,,,,,,6740&index=2,
TRIUMPH,23/07/2008,Buxton,Herald 12/50 coach toit ouvrant RHD,H & H,3 120 €,OR+,V,,6740&index=2,
,,,,,,,,,6739&index=2,
TRIUMPH,23/07/2008,Buxton,Herald 12/50 coach toit ouvrant RHD,H & H,3 120 €,OR+,V,,6739&index=2,
,,,,,,,,,8244,
TRIUMPH,25/05/2006,Beltring,Herald 1200 coach RHD,Lambert & Foster,380 €,OR,V,,8244,
,,,,,,,,,6750,
TRIUMPH,17/10/2015,Nice,Herald 950 coach,Stanislas Machoïr,6 480 €,OR,V,,6750,
,,,,,,,,,6749,
TRIUMPH,18/05/2019,Brooklands,TR 6 (CC/CF) cabriolet USA (carburateurs),Historics at Brooklands,12 240 €,REST,V,,6749,
TRIUMPH,18/05/2019,Brooklands,"TR 6 (CC/CF) cabriolet USA (carbus, convertie en RHD)",Historics at Brooklands,15 290 €,REST,V,,6749,
TRIUMPH,02/03/2019,Ascott,TR 6 (CC/CF) cabriolet USA (carburs) converti en RHD,Historics at Brooklands,27 980 €,REST,V,,6749,
TRIUMPH,08/12/2018,Los Angeles,TR 6 (CF) cabriolet USA,RM Sotheby's,36 150 €,OR+,V,,6749,
TRIUMPH,11/11/2018,Lyon,"TR 6 (CF) cabriolet USA, carbus SU",Osenat,31 800 €,REST,V,,6749,
TRIUMPH,04/11/2018,Paris,TR 6 (CF) cabriolet USA,Artcurial Motorcars,18 560 €,OR+,V,,6749,
TRIUMPH,21/10/2018,Paris,TR 6 cabriolet USA,Leclère MDV,19 800 €,OR,V,,6749,
TRIUMPH,02/09/2018,Auburn,TR 6 (CF) cabriolet USA,RM Sotheby's,9 470 €,OR+,V,,6749,
TRIUMPH,01/07/2018,Caen,"TR 6 cabriolet USA, roues fil, hard-top",Me Guéry / D. Pagneux,24 080 €,REST,V,,6749,
TRIUMPH,20/01/2018,Fontainebleau,TR 6 (CF) cabriolet USA,Osenat,24 000 €,REST,V,,6749,
TRIUMPH,21/10/2017,Fontainebleau,TR 6 (CC/CF) cabriolet USA (carburateurs),Osenat,21 600 €,REST,V,,6749,
TRIUMPH,11/09/2017,La Mézière,TR 6 (CC) cabriolet USA,Alcopa Auction,17 460 €,REST,V,,6749,
TRIUMPH,02/09/2017,Blenheim Palace,TR 6 cabriolet 3 carbus Weber,Silverstone Auctions,29 490 €,REST,V,,6749,
TRIUMPH,31/05/2017,Ascot,TR 6 cabriolet USA conv. RHD,Historics at Brooklands,27 340 €,REST,V,,6749,
TRIUMPH,11/03/2017,Amelia Island,TR 6 (CF) cabriolet USA,RM Sotheby's,20 630 €,OR+,V,,6749,
TRIUMPH,26/11/2016,Brooklands,TR 6 cabriolet USA,Historics at Brooklands,13 953 €,REST,V,,6749,
,,,,,,,,,6748,
TRIUMPH,15/05/2019,Leominster,TR 6 Pi (CR) cabriolet injection 124 ch RHD,Brightwells,19 540 €,REST,V,,6748,
TRIUMPH,25/11/2016,Milan,"TR 6 Pi (CR) cabriolet, roues fil",RM Sotheby's,29 120 €,REST,V,,6748,
TRIUMPH,12/03/2016,Brooklands,TR 6 Pi cabriolet,Historics at Brooklands,28 311 €,REST,V,,6748,
TRIUMPH,07/09/2013,Beaulieu,"TR 6 (CF) cabriolet conv. RHD, roues fil",Bonhams,22 551 €,REST+/TR,V,,6748,
