auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
VOLKSWAGEN,08/05/2017,La Mézière,Golf III Cabriolet 1.8 Joker,Alcopa Auction Rennes,1 460 €,OR,V,,11986,
,,,,,,,,,11985,
VOLKSWAGEN,07/04/2017,Esvres sur Indre,"Golf III VR 6 2.8 3 portes, jantes BBS",Alcopa Auction Tours,6 330 €,OR,V,,11985,
,,,,,,,,,12541,
VOLKSWAGEN,01/05/2019,ONLINE,Golf III Cabriolet Avant Garde RHD,H and H,4 720 €,OR,V,,12541,
,,,,,,,,,9546,
VOLKSWAGEN,23/06/2019,Paris,Golf II Rallye G 60 4 x 4 3 portes,Claude Aguttes,23 310 €,OR+,V,,9546,
VOLKSWAGEN,25/03/2018,Avignon,Golf II Rallye 4 x 4,Leclère,28 800 €,REST,V,,9546,
VOLKSWAGEN,22/10/2006,Reims,Golf II 1.8 Syncro 5 portes,SVV Guizzetti & Collet / M. Meun,700 €,OR,V,,9546,
,,,,,,,,,11738,
VOLKSWAGEN,14/06/2015,Cannes,Golf II Rallye berline,Jean-Pierre Besch,12 720 €,OR+,V,,11738,
,,,,,,,,,9545,
VOLKSWAGEN,14/10/2017,Toffen,Golf II GL 5 portes,Oldtimer Galerie Toffen,4 610 €,OR+,V,,9545,
VOLKSWAGEN,26/06/2016,Caen,Golf II GL 1.8 autom. 5 portes,Côte Enchères Atlantique / M. Pagneux,1 003 €,OR+,V,,9545,
VOLKSWAGEN,28/06/2015,Aytré,Golf II GTi 3 portes,SCP MCS / M. Saint-Gal,496 €,OR-,V,,9545,
VOLKSWAGEN,19/10/2014,Aytré,Golf II GTi 3 portes,"SCP Miller-Franiatte, Coudert, Sicard / M. Saint-G",690 €,OR-,V,,9545,
VOLKSWAGEN,01/04/2013,Saint-James,Golf II GTi 3 portes modifiée Turbo,Toutain-Vente / M. Vaudouër,2 070 €,OR-/TR,V,,9545,
VOLKSWAGEN,22/07/2012,Uzerche,Golf II GTi 3 portes,Me Arnaud-Lacroze,2 875 €,REST,V,,9545,
VOLKSWAGEN,17/11/2010,Harrogate,Golf II GL 1.6 5 portes RHD,Bonhams,2 360 €,OR+,V,,9545,
,,,,,,,,,11490,
VOLKSWAGEN,22/09/2018,Brooklands,Golf GL Cabriolet RHD autom.,Historics at Brooklands,9 220 €,OR+,V,,11490,
VOLKSWAGEN,20/01/2018,Romagnat,Golf II GLi Cabriolet,Vassy & Jalenques,5 490 €,REST,V,,11490,
VOLKSWAGEN,12/11/2017,Lyon,Golf GLi Cabriolet,Osenat,19 200 €,OR+,V,,11490,
VOLKSWAGEN,10/06/2017,Lyon,Rabbit 1.8 i Cabriolet USA,Claude Aguttes,6 720 €,OR+,V,,11490,
VOLKSWAGEN,10/06/2017,Lyon,Golf 1.8 Cabriolet série Etienne Aigner,Claude Aguttes,7 200 €,OR+,V,,11490,
VOLKSWAGEN,26/03/2017,Avignon,Golf GLi Cabriolet,Leclère MDV,13 200 €,REST,V,,11490,
VOLKSWAGEN,05/11/2016,Lyon,Golf 1.8 i Cabriolet Young Line,Claude Aguttes,10 200 €,OR+,V,,11490,
VOLKSWAGEN,28/11/2015,Toffen,Golf 1 cabriolet,Oldtimer Galerie Toffen,7 698 €,OR+,V,,11490,
VOLKSWAGEN,02/05/2015,Beauzelle,Golf GLi cabriolet,Arnauné & Prim,5 590 €,OR,V,,11490,
VOLKSWAGEN,15/03/2015,Fontainebleau,Golf GLi Cabriolet,Jean-Pierre Osenat,7 200 €,REST,V,,11490,
VOLKSWAGEN,20/07/2014,Uzerche,Golf GL 1.3 Cabriolet,Brivenchères (Me Gillardeau),3 416 €,OR+,V,,11490,
VOLKSWAGEN,16/06/2013,Bellac,Golf 1.6 Cabriolet,Me Bernard,2 173 €,OR,V,,11490,
VOLKSWAGEN,25/04/2011,Saint-James,Golf GLi Cabriolet,Toutain-Vente / M. Vaudouër,3 750 €,OR+,V,,11490,
VOLKSWAGEN,21/07/2010,Buxton,Golf GLi Cabriolet RHD,H & H Classic Auctions,3 270 €,REST,V,,11490,
VOLKSWAGEN,17/10/2010,Fontainebleau,Golf 1.6 Cabriolet,Jean-Pierre Osenat,4 800 €,REST,V,,11490,
VOLKSWAGEN,03/07/2010,Caen,Golf Cabriolet USA,Brioult Enchères / M. Pagneux,2 200 €,OR,V,,11490,
,,,,,,,,,12284,
VOLKSWAGEN,30/03/2019,Toffen,Golf GLS Cabriolet ,Oldtimer Galerie,5 010 €,OR+,V,,12284,
VOLKSWAGEN,22/09/2018,Toulouse,Golf GLS 1.6 Cabriolet,Stanislas Machoïr,7 200 €,OR,V,,12284,
VOLKSWAGEN,12/11/2016,Sainte-Solange,"Golf Cabriolet autom., jantes alu",SVV Daguerre,2 750 €,OR,V,,12284,
,,,,,,,,,11490&index=2,
VOLKSWAGEN,30/03/2019,Toffen,Golf GLS Cabriolet ,Oldtimer Galerie,5 010 €,OR+,V,,11490&index=2,
VOLKSWAGEN,22/09/2018,Toulouse,Golf GLS 1.6 Cabriolet,Stanislas Machoïr,7 200 €,OR,V,,11490&index=2,
VOLKSWAGEN,12/11/2016,Sainte-Solange,"Golf Cabriolet autom., jantes alu",SVV Daguerre,2 750 €,OR,V,,11490&index=2,
,,,,,,,,,8575,
VOLKSWAGEN,01/07/2018,Lyon,Golf GTi 1800 3 portes série Pirelli,Aguttes,20 300 €,REST+,V,,8575,
VOLKSWAGEN,08/04/2018,Montastruc,Golf GTi 1800 3 portes,Stanislas Machoïr,15 000 €,OR,V,,8575,
VOLKSWAGEN,26/03/2017,Avignon,Golf GTi 1800 3 portes,Leclère MDV,15 600 €,OR+,V,,8575,
VOLKSWAGEN,30/01/2010,Kings Lynn,Golf GTi 1800 3 portes RHD,Anglia Car Auctions,5 170 €,REST+,V,,8575,
VOLKSWAGEN,20/04/2009,Londres,Golf GTi 1800 3 portes RHD,Bonhams,4 180 €,OR+,V,,8575,
VOLKSWAGEN,18/11/2007,Chinon,Golf Rabbit GTi 3 portes,SdV Chinon (M. Herbelin) / M. So,900 €,OR-,V,,8575,
,,,,,,,,,8550,
VOLKSWAGEN,11/11/2018,Lyon,Golf GTi 16 S Oettinger,Osenat,32 400 €,OR+,V,,8550,
VOLKSWAGEN,10/11/2018,Lyon,Golf GTi 16 S Oettinger 136 ch,Aguttes,33 870 €,REST,V,,8550,
VOLKSWAGEN,30/09/2018,Linas,"Golf GTi 16 S Oettinger, moteur 2.0 + origine",Aguttes,40 120 €,REST+,V,,8550,
VOLKSWAGEN,14/04/2018,Lyon,Golf GTi 16 S Oettinger,Aguttes,40 160 €,REST,V,,8550,
VOLKSWAGEN,30/10/2016,Paris,Golf GTi 16 S Oettinger,Artcurial Motorcars,26 224 €,REST,V,,8550,
VOLKSWAGEN,12/03/2016,Lyon,Golf GTi 16 S Oettinger,Claude Aguttes,46 800 €,REST+,V,,8550,
VOLKSWAGEN,01/11/2015,Paris,Golf GTi 16 S Oettinger,Artcurial Motorcars,33 376 €,REST+,V,,8550,
,,,,,,,,,8574,
VOLKSWAGEN,21/04/2018,Toffen,Golf GTi 1600,Oldtimer Galerie Toffen,25 160 €,OR+,V,,8574,
VOLKSWAGEN,08/04/2018,Paris,Golf GTi 1600 3 portes 5 vitesses,Artcurial Motorcars,17 880 €,REST,V,,8574,
VOLKSWAGEN,22/10/2017,Paris,Golf GTi 1600 (4 vitesses),Leclère,16 800 €,OR,V,,8574,
VOLKSWAGEN,10/06/2017,Lyon,Golf GTi 1600 5 vit. 3 portes,Claude Aguttes,15 720 €,REST+,V,,8574,
VOLKSWAGEN,19/03/2017,Fontainebleau,Golf GTi 1600 (5 vitesses),Jean-Pierre Osenat,15 200 €,REST+,V,,8574,
VOLKSWAGEN,31/10/2016,La Mézière,Golf GTi 1600 3 portes,Alcopa Auction,11 320 €,OR+,V,,8574,
VOLKSWAGEN,17/05/2009,Montastruc-la-Conseillère,Golf GTi 1600 (5 vitesses),SVV Machoïr,4 800 €,OR+,V,,8574,
,,,,,,,,,12283,
VOLKSWAGEN,10/04/2019,Buxton,Golf I GLS 5 portes RHD,H and H,14 360 €,OR+,V,,12283,
VOLKSWAGEN,20/01/2019,Tarbes,Golf LD 5 portes (sans moteur ni CG),SVV Henri Adam / M. Bonoron,360 €,EP/INC,V,,12283,
VOLKSWAGEN,20/01/2019,Tarbes,"Golf LD 5 portes, jantes alu (sans CG)",SVV Henri Adam / M. Bonoron,390 €,SEP,V,,12283,
VOLKSWAGEN,20/01/2019,Tarbes,Golf GLD 5 portes (sans CG),SVV Henri Adam / M. Bonoron,610 €,SEP,V,,12283,
VOLKSWAGEN,20/01/2019,Tarbes,"Golf LD 5 portes, sans mécanique",SVV Henri Adam / M. Bonoron,540 €,SEP/INC,V,,12283,
,,,,,,,,,9542,
VOLKSWAGEN,10/12/2017,Aulnay-sous-Bois,"Iltis 4 x 4 torpédo, non immatriculée",Leclère,10 080 €,OR,V,,9542,
VOLKSWAGEN,24/01/2010,RomoRantin,Iltis 4 x 4 torpédo,Enchères Vendôme-Cheverny,3 900 €,OR,V,,9542,
,,,,,,,,,6969,
VOLKSWAGEN,29/03/2019,Fort Lauderdale,181 torpédo,RM Sotheby,22 520 €,REST,V,,6969,
VOLKSWAGEN,08/03/2019,Amelia Island,181 torpédo,Gooding & Co,47 910 €,REST,V,,6969,
VOLKSWAGEN,07/03/2019,Amelia Island,181 torpédo,Bonhams,10 430 €,REST,V,,6969,
VOLKSWAGEN,17/01/2019,Phoenix,181 torpédo,RM Sotheby's,21 610 €,OR/TR,V,,6969,
VOLKSWAGEN,20/10/2018,Toffen,181 torpédo,Oldtimer Galerie,4 790 €,OR,V,,6969,
VOLKSWAGEN,19/05/2018,Brooklands,182 (Trekker) RHD,Historics at Brooklands,19 220 €,REST,V,,6969,
VOLKSWAGEN,17/08/2017,Pacific Grove,181 torpédo,Worldwide Auctioneers,30 420 €,REST,V,,6969,
VOLKSWAGEN,04/06/2017,Greenwich,181 (Thing) torpédo,Bonhams,10 290 €,REST,V,,6969,
VOLKSWAGEN,19/01/2017,Phoenix,181 torpédo,RM Sotheby's,22 490 €,REST,V,,6969,
VOLKSWAGEN,14/06/2015,Fontainebleau,181 torpédo,Jean-Pierre Osenat,12 000 €,REST,V,,6969,
VOLKSWAGEN,12/09/2009,Beaulieu,181 torpédo LHD,Bonhams,6 050 €,OR+,V,,6969,
,,,,,,,,,11487,
VOLKSWAGEN,27/04/2019,Tupelo,SP-2 coupé (VW do Brasil),Bonhams,29 950 €,OR,V,,11487,
,,,,,,,,,6962,
VOLKSWAGEN,28/04/2013,Montastruc,411 2 portes,Stanislas Machoïr,2 600 €,OR+,V,,6962,
,,,,,,,,,8573,
VOLKSWAGEN,18/05/2019,Brooklands,Typ 25 Camping,Historics at Brooklands,5 410 €,OR,V,,8573,
VOLKSWAGEN,10/04/2019,Buxton,Typ 2 Camping,H and H,11 100 €,REST,V,,8573,
VOLKSWAGEN,02/03/2019,Ascott,Typ 2 Camping Bay-window 1600 RHD,Historics at Brooklands,42 290 €,REST,V,,8573,
VOLKSWAGEN,11/10/2018,Hershey,Typ 2 Camper,RM Sotheby's,28 470 €,REST,V,,8573,
VOLKSWAGEN,11/05/2018,Auburn,Typ 2 Camping Westfalia,RM Sotheby's,15 490 €,REST,V,,8573,
VOLKSWAGEN,29/04/2017,Toffen,Transporter Bus,Oldtimer Galerie Toffen,4 840 €,OR,V,,8573,
VOLKSWAGEN,06/02/2017,La Mézière,Typ 25 Camping Westfalia ex-USA,Alcopa Auction Rennes,21 060 €,OR+,V,,8573,
VOLKSWAGEN,20/04/2016,Duxford,Typ 2 Camping RHD,H & H Classic Auctions,32 641 €,REST,V,,8573,
VOLKSWAGEN,20/03/2016,Goodwood,Typ 2 camping Canterbury Pitt RHD,Bonhams,36 490 €,REST,V,,8573,
VOLKSWAGEN,10/12/2015,Londres,Typ 24 Camping Devon RHD,Bonhams,118 350 €,REST+,V,,8573,
VOLKSWAGEN,15/01/2015,Phoenix,Typ 2 camping-car Westfalia,RM Auctions,94 050 €,REST,V,,8573,
VOLKSWAGEN,09/03/2013,Brooklands,Typ 2 Camping Westfalia RHD,Historics at Brooklands,9 212 €,OR+,V,,8573,
VOLKSWAGEN,20/10/2007,Ascot,"Type 2 Camping (Brazil) RHD, ex-Pete Townshend",Coys Auctions,33 000 €,EX,V,,8573,
,,,,,,,,,8572,
VOLKSWAGEN,25/05/2013,Spa Francorchamps,Typ 2 Microbus,Bonhams,19 550 €,REST+,V,,8572,
VOLKSWAGEN,12/03/2009,Londres,Type 2 Bus L (Clipper),Coys,17 600 €,REST+,V,,8572,
,,,,,,,,,8571,
VOLKSWAGEN,30/09/2018,Linas,Typ 2 Combi,Aguttes,41 300 €,OR,V,,8571,
VOLKSWAGEN,28/09/2018,Southam,Typ 2 pick-up 1600 RHD ex-Afrique du Sud,Silverstone Auctions,23 970 €,REST,V,,8571,
VOLKSWAGEN,02/09/2018,Auburn,Type 2 Combi ,RM Sotheby's,7 820 €,REST,V,,8571,
VOLKSWAGEN,09/02/2018,Paris,Typ 2 Combi custom,Artcurial,23 840 €,TR,V,,8571,
VOLKSWAGEN,25/02/2012,Coventry,Type 2 Camping Westfalia S 042,Silverstone Auctions,28 037 €,REST+,V,,8571,
VOLKSWAGEN,25/07/2010,Uzerche,Type 22 Combi 8 places,Me Arnaud-Lacroze / M. Saint-Gal,2 400 €,OR+,V,,8571,
,,,,,,,,,8570,
VOLKSWAGEN,05/07/2008,Woodstock,Type 2 fourgon double porte latérale LHD,Coys Auctions,9 620 €,REST,V,,8570,
,,,,,,,,,11044,
VOLKSWAGEN,26/06/2015,Goodwood,Typ 2 Devon Samba 23 vitres RHD,Bonhams,128 580 €,REST,V,,11044,
,,,,,,,,,11042,
VOLKSWAGEN,29/05/2019,Auburn,Typ 26 Pick-up custom,RM Sotheby's,15 740 €,REST/TR,V,,11042,
VOLKSWAGEN,18/08/2017,Pebble Beach,Typ 2 Pick-up double cabine,Gooding & Co,83 240 €,REST,V,,11042,
VOLKSWAGEN,04/02/2016,Paris,Typ 2 Pick-up double cabine,Bonhams,58 650 €,REST+,V,,11042,
VOLKSWAGEN,11/03/2011,AmeliA IslAnd,Type 26 Pick-up double-cabine,Gooding & Company,46 080 €,REST+,V,,11042,
VOLKSWAGEN,03/05/2009,Montbazon,Type 26 plateau large Westfalia,Five Auction Tours,2 000 €,OR,V,,11042,
,,,,,,,,,8569,
