auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
PORSCHE,04/02/2015,Paris,356 1500 Speedster,RM Auctions,225 000 €,REST,V,,5679,
PORSCHE,10/05/2014,Monaco,356 1600 Speedster Reutter,RM Auctions,224 000 €,REST,V,,5679,
PORSCHE,25/05/2013,Cernobbio,356-1500 Speedster (80208),RM Auctions,190 400 €,REST+,V,,5679,
PORSCHE,18/01/2013,Phoenix,356-1500 Speedster,RM Auctions,128 011 €,REST,V,,5679,
PORSCHE,30/04/2010,Monaco,356-1500 S Speedster moteur 912 130 ch,Bonhams,130 000 €,REST+/TR,V,,5679,
PORSCHE,12/03/2010,AmeliA IslAnd,356-1500 S Speedster,Gooding & Co,90 340 €,REST,V,,5679,
PORSCHE,20/05/2006,Monaco (Coys),356-1500 S Coupé LHD (52202),Coys,47 000 €,REST+,V,,5679,
,,,,,,,,,5678,
PORSCHE,11/10/2018,Hershey,"Replica 356 Vintage Speedsters, base VW",RM Sotheby's,24 670 €,OR+,V,,5678,
PORSCHE,05/10/2018,Knokke le Zoute,356-1600 Speedster,Bonhams,345 000 €,REST,V,,5678,
PORSCHE,19/01/2018,Scottsdale,356-1500 Speedster,Gooding & Co,170 960 €,OR-,V,,5678,
PORSCHE,18/01/2018,Scottsdale,356-1500 Speedster Reutter,Bonhams,179 740 €,REST,V,,5678,
PORSCHE,18/01/2018,Phoenix,356-1500 Speedster Reutter,RM Sotheby's,287 180 €,REST,V,,5678,
PORSCHE,18/08/2017,Pebble Beach,356-1500 Speedster,Gooding & Co,299 310 €,OR,V,,5678,
PORSCHE,30/06/2017,Goodwood,356-1500 Speedster hard-top,Bonhams,345 530 €,REST,V,,5678,
PORSCHE,31/10/2007,Londres,356-1300 S cabriolet,RM Auctions / Sotheby's,82 500 €,REST,V,,5678,
,,,,,,,,,5677,
PORSCHE,19/01/2018,Scottsdale,356-1500 S cabriolet,Gooding & Co,305 930 €,REST,V,,5677,
PORSCHE,18/01/2018,Phoenix,356-1500 cabriolet Reutter,RM Sotheby's,210 460 €,REST,V,,5677,
PORSCHE,18/01/2018,Phoenix,356-1500 cabriolet Reutter,RM Sotheby's,228 760 €,REST,V,,5677,
PORSCHE,18/01/2017,Scottsdale,356-1500 cabriolet,Worldwide Auctioneers,258 580 €,REST,V,,5677,
PORSCHE,03/02/2012,Paris,356-1500 coupé Reutter,Artcurial Motorcars,148 920 €,REST+,V,,5677,
,,,,,,,,,12068,
PORSCHE,09/03/2018,Amelia Island,356-1500 Super coupé Reutter,Gooding & Co,71 500 €,OR-,V,,12068,
PORSCHE,18/01/2018,Phoenix,356-1500 coupé Reutter,RM Sotheby's,183 010 €,REST,V,,12068,
PORSCHE,18/08/2017,Monterey,356-1500 coupé,RM Sotheby's,865 180 €,REST,V,,12068,
PORSCHE,18/08/2017,Carmel,356-1500 coupé Reutter,Bonhams,245 490 €,REST,V,,12068,
PORSCHE,30/06/2017,Goodwood,"356 coupé ex-USA, moteur 1600",Bonhams,164 710 €,REST/TR,V,,12068,
PORSCHE,09/02/2017,Paris,356-1500 Continental coupé,Bonhams,296 130 €,REST,V,,12068,
PORSCHE,08/10/2016,Paris,356 1500 S coupé,SVV Coutau-Bégarie / Coys,283 000 €,REST+,V,,12068,
,,,,,,,,,5675,
PORSCHE,08/10/2016,Paris,356 1300 cabriolet,SVV Coutau-Bégarie / Coys,260 000 €,REST+,V,,5675,
PORSCHE,14/08/2015,Carmel,356 1500 cabriolet Continental ,Bonhams,265 870 €,REST,V,,5675,
,,,,,,,,,5674,
PORSCHE,20/01/2019,Tarbes,"356 coupé Reutter, moteur 1600 + lot pièces",SVV Henri Adam / M. Bonoron,58 080 €,SEP/INC,V,,5674,
PORSCHE,09/02/2018,Paris,356-1300 coupé,Artcurial,894 000 €,REST,V,,5674,
PORSCHE,07/09/2015,Londres,356 1500 coupé Reutter,RM Sotheby's,222 001 €,REST,V,,5674,
PORSCHE,07/03/2014,Amelia Island,718 RSK Spyder,Gooding & Co,2 376 000 €,REST+,V,,5674,
PORSCHE,06/02/2014,Paris,356 coupé 1500 (51020),Bonhams,149 500 €,REST,V,,5674,
PORSCHE,20/10/2013,Paris,356 coupé 1500 (51951),Artcurial Motorcars,152 822 €,REST+,V,,5674,
PORSCHE,10/06/2013,Paris,"356 coupé Reutter toit ouvrant, moteur 912 (50599)",Artcurial Motorcars,108 299 €,REST+/TR,V,,5674,
PORSCHE,27/04/2009,Paris,356-1300 coupé,Artcurial,37 000 €,REST+,V,,5674,
PORSCHE,18/06/2006,Fontainebleau,"356 ""pré-A"" coupé 1500 (52140)",Jean-Pierre Osenat,33 500 €,REST,V,,5674,
,,,,,,,,,5685,
PORSCHE,25/05/2019,Cernobbio,356 A-1600 S Speedster Reutter,RM Sotheby's,342 500 €,REST,V,,5685,
PORSCHE,07/04/2019,goodwood,356 A-1600 S Speedster,Bonhams,281 010 €,REST,V,,5685,
PORSCHE,23/02/2019,Birmingham,356 A-1600 S Speedster (convertie RHD),Silverstone Auctions,336 670 €,REST,V,,5685,
PORSCHE,18/01/2019,Scottsdale,356 A-1600 S Speedster + hard-top,Gooding Co.,284 990 €,REST,V,,5685,
